review_id,user_id,business_id,stars,useful,funny,cool,text,date
EshirT3gj6ixbDAxmXSaEg,paCWvJDzJdFDfPMLAUbZlw,-JStjL-8mRZq4ov4uI1FaQ,5,3,0,1,"This food is to die for!  My family and I love to go here no matter the occasion.

Our favorite dish is the chicken parmigiana, which is unbelievably delicious.  The portions are plentiful for the price, you will almost certainly get two meals out of it.  The vodka sauce is excellent and matched by their red sauce.  Their pasta is always perfect.

I would be remiss if I didn't mention the freshly baked rolls, which really stand out on their own (we must ALWAYS bring a bag home to have with the leftovers), and bruschetta which whets the appetite before every dinner.

Every meal here is exceptional. The servers are great. Go here if you are hungry for Italian and you will never be disappointed.",2011-02-13 16:21:43
cO5HKdjxJdxfDFmxW8ruOQ,BNKwpze_HDmShffe4WqN4A,-JStjL-8mRZq4ov4uI1FaQ,5,0,0,0,"Best Italian restaurant there is.  I always get the tomato bread or wings as an app, brandy cream sauce with spinach, and If I have room, I'll get their cheesecake or tiramisu.  Don't forget your wine, its byob.  Try their seafood specials if you get the chance.  I love them!  Service and ambiance is nice too, kinda diner-ish, but good for a date or family night.",2012-10-09 15:24:04
SpKsFAHgtSuYESkREYP1PA,EuU4rgWWkIDc-hKd7-XaKw,-JStjL-8mRZq4ov4uI1FaQ,2,0,0,0,"My family has been going to Luberto's for over 10years.  The food has pretty much remained the same.  Large portions and good food.

However, the service is HORRIBLE!  Our waitress did not bring us drink refills, didn't check on us and our food took forever (we had 2 children) without any explanation.  There are so many other good restaurants in the area.  Why would I give them my money!",2012-04-01 20:22:01
gZEVCQKUkYJP3u1EGW32bg,PzHHr5_J8DQOzo4SN_40yA,-JStjL-8mRZq4ov4uI1FaQ,5,2,0,0,"By far the best Italian sauces and food around. Great portions (at least two meals in one), quality ingredients and flavors, people there are nice. Believe all of the reviews and hype; It's all true.
My personal favorite is their Cubana sauce over penne. Their Vodka sauce is epic and the Cubana tastes like the base is vodka and has hot peppers and grilled possibly? prosciutto make it sooooo spicy good! Plus their fresh baked rolls to dip push this place to a six star place.
Gets very crowded but worth to eat in since they start you out with bruschetta that is wonderful which you won't get with take-out.",2011-02-15 19:27:15
aldcHENfuFQNrYr2osmiZw,ff2iJzNaUKZdaXdjEZBVRQ,-JStjL-8mRZq4ov4uI1FaQ,4,4,0,1,"Very good food. Reasonable prices. Big portions. Not an upscale place by any means, but we have never had a bad meal here. Their dinner rolls are warm doughy perfection.",2011-05-31 15:39:17
66JpCgZr0fp-vPJAjYJkLA,gqHP_uYGKRwfO69iDmE1mw,-uhn-iY4lJvWqoBXDghjZA,5,0,0,0,"So excited, that's all it takes, fresh baked things oh and donuts. I went next door to try the barber and had to stop in on my way out. So cool to see a couple follow their passion and open a bakery. I plan to bring the kids for super awesome treats from Brown's. Great place to stop if you are out on a bike ride on the weekends. Great coffee and pastries. I wish you all of the luck I hope things boom for you.",2018-07-09 14:45:53
Hz0_gHdrDDea-AQJGV2i_A,9lrnYSMdL7Wf-9I-o6aUaA,-JStjL-8mRZq4ov4uI1FaQ,5,1,0,0,"Awesome non-greasy pizza that is made with real Mozzarella and a delightful sauce,  our ""go to"" place for pizza,  cheese steaks or a nice sit down dinner,  they have it all!!",2015-06-12 17:16:39
cc_3qqpKQWJ8_N1KA1L1FQ,OepF2bxE_ERY515dWvmtDQ,-JStjL-8mRZq4ov4uI1FaQ,5,1,0,0,Love this place!  I always get one of the pasta specials or the pescatore in white sauce over linguine.,2016-01-30 23:23:04
6PwyvaPJZF674LQm1s4nTQ,6WqSakMBfLDGLe5B3iL4BA,-JStjL-8mRZq4ov4uI1FaQ,5,1,0,0,Great pizza. Stopped here on our way to Harrisburg. It's worth the extra driving time.,2017-09-22 18:54:08
8Ea_whWpmr3150D8KUFvoQ,A9md-211q6BWlSn5EkTwJw,-JStjL-8mRZq4ov4uI1FaQ,5,0,0,0,"LOVE this place! Some of the best pizza and pasta I've ever had. The pizzas have fresh ingredients and an perfectly crispy thin crust. The pastas all have great flavor and there's usually a great special. The portions are large, I always get at least another meal off the leftovers. Also love the bruschetta every table gets as a free appetizer. I've been coming here for years and it never fails to disappoint.",2015-12-21 23:32:04
7fo42vta4uE0Wb6lgQqQrQ,JvljCKbnjcDFrWkrqQUdEQ,-JStjL-8mRZq4ov4uI1FaQ,5,3,0,1,"Primo Italiano! Enormous portions, incredible red sauce and a casual atmosphere.

It is obvious that this place is a huge favorite with locals. After sitting down for a meal with my family I can understand why. The food is akin to home cooking Italian and everything tastes fresh. The pastas are actually handmade and both the gnocchi and the ravioli are both lite and delicious. Nothing here has the heavy feeling of many other Italian restaurants. The chicken parm is crispy on the outside and moist on the inside.

When I say that the portions are enormous, it is not an exaggeration. I had food for breakfast lunch and dinner. The prices are all very reasonable.

Judging by how busy this place is night after night I am confident in my glowing assessment. Being fairly critical, I am really impressed by this little place. You wouldn't think much from looking at the outside, but don't let that stop you. this place is legit!",2010-01-13 17:01:10
pbEHyWxm6-Z0pqUAlzQ9vQ,Lmam0jm8EReVm2EAArkjfQ,-JStjL-8mRZq4ov4uI1FaQ,4,1,0,0,"Great homemade style food, great service, fast service.

Price is reasonable and it's a small cozy restaurant.  Parking could be better.",2016-03-11 00:51:22
tTfn9XYBBz1g9Z6HYRqT5g,QLPylO8wa5C4XeY4LhGUuw,-JStjL-8mRZq4ov4uI1FaQ,4,2,0,0,"Went this past weekend w my hubby. I used to come here as a kid with my family, but havnt made it back in years. The food was just as good as I remembered! Pink vodka sauce = excellent. I had the seafood special and it was great. Husband had the chicken parm. Way too much food (not a that it's a terrible thing), so next time maybe we'll split an entree.",2013-09-06 10:48:05
cSSo70dJTFdD2vUwj3wFBQ,xqWgIpVyEkj9KSKuoxqc2Q,-JStjL-8mRZq4ov4uI1FaQ,5,5,0,1,"My family and I absolutely love Luberto's. We go at least twice a month and we live a good 30-35 minutes away. It's worth the drive!

It's not fancy - you can tell it's a family business. There can be a bit of a wait to get a seat, although we go later at night to avoid lines. 

The food is phenomenal. When you first sit down, you get bruschetta, followed by delicious hot rolls and butter, then salad and then your meal. You will not leave hungry. You can also order something that's not even on the menu - my dad and sister always order a certain seafood dish that they love and it's only a special every now and then. I always order Penne with Pink Vodka sauce. It's a huge portion too, so I always get to have half of it for lunch the next day. Prices are definitely reasonable, too. It's BYOB as well. 

I LOVE IT!",2010-03-17 17:25:06
bmqMzs2C2RqMs4i23W4mYw,N0inGRa7JtVeOdoGuv1iOg,-JStjL-8mRZq4ov4uI1FaQ,5,0,0,0,Amazing service and amazing food. Best salads and I always get the personal pizza with fresh mozzarella. It's delish!!! BYOB,2016-11-26 04:03:47
THIXvPcy1BJb1QFSz4UTFw,-RV-gM2t2sp23BfZGVK6gA,-JStjL-8mRZq4ov4uI1FaQ,5,1,0,1,"BYOB and although inexpensive and a casual interior, the food was so delicious and plentiful!  I had the wood fired margherita pizza and it was excellent. I ordered a side of meatballs and they were outstanding with a wonderful sauce.  I could have made a meal on just the meatballs because they were that good! Our table all had different kinds of dishes and pizza but we were all very satisfied with the food.  I just remembered I tucked one meatball into my husbands to-go container...I hope he didn't eat it so I can finish it off when I get home!!  :)",2016-01-18 20:10:07
kPrq2oFWxsSUXA902ZuTyQ,JtvWtlZ5GzyTyRnON_ncEw,-JStjL-8mRZq4ov4uI1FaQ,4,0,0,0,"One of my favorite places to eat for take out Italian food. The pink vodka sauce is amazing. The meatballs are really good. The pizza is great. The rolls they provide are even delicious. The portions are large and relatively inexpensive. They also have specials, and from the 3-4 I have had, they have been delicious. 

They do have the option to sit inside. I have always gotten take out. The inside isn't the most attractive place in the world. But the people at the takeout counter have always been very nice. Best restaurant in Dublin",2016-08-08 05:08:40
EOHG0pGj-nopcMBI530UAA,d-MA6q8ANZeeWJlF0escKA,-JStjL-8mRZq4ov4uI1FaQ,5,1,0,0,"Can't even begin to tell you how delish everything was! Pink Vodka Sauce...order it in a bowl with a straw!  Our waitress was Kirsten,  she was wonderful and  anticipated our every need! Wish I could've
Saved room for some of their fabulous desserts!",2014-11-17 18:28:23
vJQq7sOPN2KPqOv3hqZSzA,frK2-80WEBPA0g0YAP_jcA,-JStjL-8mRZq4ov4uI1FaQ,2,1,0,0,Not sure why this place has such great reviews taking into account the many great other local places we have. Pizza crust was undercooked. Staff was not friendly or helpful. Everything down to getting a needed plate seemed like an annoyance to them and ambiance was lacking. Can't imagine going back.,2018-04-28 23:54:39
9nWk6WrETy5ZQc7wjWqgQg,y-rTHv87cy-M5fd0UyNlFQ,-JStjL-8mRZq4ov4uI1FaQ,5,0,0,1,"My family orders takeout from here at least 3-4 times a month. This is our family's go to restaurant on a Friday night. Everything is amazing, especially that pink vodka sauce that you can buy to take home!! Some of my favorites: Sherry sauce, pescatore, chicken cacciatore, puttanesca, and cubana pastas! I'm from Philly and they surprisingly make some of the best cheesesteaks I've ever had! Even their wings and bread rolls are fantastic. Such a great find in the little town of Dublin.",2016-08-06 14:34:13
2KpYzD_wQHcBxJ6woVj7Rg,_rLQ_O6F3x22ma0kJQyajg,-JStjL-8mRZq4ov4uI1FaQ,5,2,0,0,"I've been coming to Lubertos with my family since as long as I can remember and it has always been great. Last night my boyfriend and I went there and it was his first time! He got chicken parm and I got pink vodka sauce over rigatoni. The meals come with salads, rolls, and bruschetta in the beginning. The portions are huge and definitely make for good leftovers!! Our waitress was Kirsten and she was really awesome! If you want good Italian food at good prices you have to try Lubertos.",2013-09-08 12:42:44
5rlMeYpAP5iWAk3oxV2kPw,lmQz2SutpT697wbZHHXaAg,-JStjL-8mRZq4ov4uI1FaQ,5,1,0,0,Whatever you get make sure you get the Pink Vodka Sauce on it...it's one of the best sauces I've ever had. I went here for the first time with my girlfriend and I was very excited because her family and her always speak so highly of it. We split a personal pizza which was excellent and before anything they bring you out bruschetta. Then after they bring out their rolls which are amazing because they are homemade. I decided to go with the Chicken Parm because it's one of my go to Italian foods that I have to try every new Italian place I eat at...it was probably one of the best I've ever eaten. The vodka sauce is literally the best...take my word for it along with a bunch of other reviews on here and get it on whatever you decide to order. Prices are very reasonable as well for the amount of food you get with each dish. You will have leftovers for a few days...trust me!,2013-09-08 15:11:40
CEJM4gd2cWPHvg919E51zQ,UrY-jqh5gSCt-jPfuQodyg,-JStjL-8mRZq4ov4uI1FaQ,4,1,0,0,A solid four stars for the food. Excellent service and a friendly but busy atmosphere. It would get 5 stars but is another BYOB so don't forget your wine. The pasta and the Pizza are the best in the area! There is always a wait to get in so I almost don't want to share how good it is. Pick up a large pepperoni and mushroom if you are in a rush- it is awesome.,2016-03-20 23:13:05
VQrMMwgb7Xtw3cTKfQjyJQ,f0iFs8GGMdxeHvmzTmPMUA,-JStjL-8mRZq4ov4uI1FaQ,5,1,0,0,Excellent food from sandwiches to meals. Usually get spaghetti parm in vodka sauce it is the best. Service is always good and plenty to bring home for another meal. Prices are reasonable.,2015-06-13 19:10:53
P55_RksH_A9cvkJRgmchvA,KTMNUAVdbLo32dULFOzKCg,-JStjL-8mRZq4ov4uI1FaQ,1,0,0,0,"The pizza was...offensive. Way too much cheese, no flavor, crust was soft and chewy. Prosciutto was thick, brown and crunchy. Staff was unfriendly.",2018-05-22 23:45:00
zlVSCNcXhBfmr7tytEg0WA,itJ4Rc3JyOdUP8D-m5iGUQ,-JStjL-8mRZq4ov4uI1FaQ,4,1,0,0,"I have only had lunch here never dinner. I typically have some type of hoagie or cheese steak. The food is always good, service friendly and prices reasonable.",2012-02-11 14:21:17
tICSDPgaCoJhBRbu1_es9A,EuU4rgWWkIDc-hKd7-XaKw,-JStjL-8mRZq4ov4uI1FaQ,1,1,1,1,"I have had horrible service in the dining room in the past year so I thought I would try take-out.  Hard to imagine that they can have bad service there also!  I went to pick up my take-out and was totally ignored by 3 ""Hostesses""   They let people pay that arrived at the front deck after me and when I was the only person standing there (right in the middle of the front desk) they continued to ignore me.  I finally had to ask for someone to wait on me while they all tried to make themselves look busy.

Too bad they have good food because I will never give them another dollar and we have been going there for over 10 years!

Management please take notice.  YOUR WAITRESSES AND HOSTESSES ARE COSTING YOU MONEY!",2012-10-16 16:41:53
DzSZN_sBJLxr27VX1IscOw,70OyJY2myYaRr7dhTaq8kA,-JStjL-8mRZq4ov4uI1FaQ,5,0,0,0,They have the best vodka sauce I have ever had. I had this once and was hooked. The prices are reasonable and it is BYOB. I'd reccomend going during the week because the weekends can be a long wait.  You are also guaranteed a second meal with leftovers.,2014-01-02 17:02:07
bxjQg1ZxUZveME6dZnu_hw,ggVepjOaLKyUA2m4G4rlLg,-JStjL-8mRZq4ov4uI1FaQ,5,2,0,0,Fresh and delicious sauces with excellent service. The waitress anticipated our every need and never made us feel rushed even though the place was packed. The prices are excellent for meals that include both salad and dinner rolls. We were thoroughly impressed and I have a feeling this place will become our new favorite!,2011-10-04 18:23:39
J8sT4fLH_zG1dgnMWGkBig,DRVXeUXPTFdUdoqf0hkrlw,-JStjL-8mRZq4ov4uI1FaQ,5,1,0,0,In love with Luberto's.  We frequent this establishment at least once a week.   Great food... love the vodka sauce!,2013-11-21 05:09:59
RUWBwTWwZ9Ru3aqkS40XWw,w7Jm2lsb9abkQkDlnkOc-A,-JStjL-8mRZq4ov4uI1FaQ,5,0,0,0,One of the best restaurants I've been to and I'm a foodie. When I'm back in town I make a bee line to Luberto's.,2015-05-20 01:01:41
aSKknDpknFJHft27JXPvCw,36CXeoiar-OlppQmY5iUGg,-JStjL-8mRZq4ov4uI1FaQ,4,1,0,0,Good fresh brick oven pizza. Good pasta and red sauce. Beware the give a lot of bread so don't order extra! Overall it's a good place to go.,2017-07-13 21:26:23
v_Wc_PexkWznbQZOtQETzg,vPQeX1KnHU16zSz3ZL9SNw,-JStjL-8mRZq4ov4uI1FaQ,4,1,0,0,"I worked at the lubertos on 413, and heard the other one had better pizza. I liked the pizza where I worked so this one must be pretty good.",2015-11-25 18:10:59
gvGrPKZH-83uSAYOtVbvxw,T8wqkLyaktHi9a6AtHnTCA,-JStjL-8mRZq4ov4uI1FaQ,2,1,0,0,"First and foremost the service we got was absolutely horrible! Although it looked like we just got the worst waitress in the place. The food or pizza was just average and nothing to special, not really NE worthy.",2016-07-09 00:33:44
ektbQU_uoSYi1Eo-ZyRssA,92vgUkcLlTjbb8vNC1gMMw,-JStjL-8mRZq4ov4uI1FaQ,4,2,1,0,"Pretty good. I had the fried eggplant appetizer which was heavily battered and extremely fattening. I was a fan. I wanted to get the eggplant parm but the waitress explained to me that it wasn't breaded like traditional eggplant parm, so I went with the appetizer instead which was a HUGE portion. Next time I'm going to order the appetizer eggplant and a side of pasta and be done. 

I had the chicken parm entree which was plentiful and pretty good. Took a lot home. My side of pasta was in vodka sauce which was decent vodka sauce but coming from NY I've definitely had better.

The salad was ho-hum but a fine touch and the fresh baked rolls are heavenly. And wow, maybe it's just being from NY but it was CHEAP!",2012-03-19 03:08:37
P-LYn5SSk7MXoF5TlUkeMg,LiiUu5TS7Bjjoq9xd8tKEQ,-JStjL-8mRZq4ov4uI1FaQ,4,1,0,1,"Impressed by a family Italian restaurant, who knew? I'm not one to normally to especially enjoy Italian but this unpretentious place really does it well. The portions were H U G E, the bread was great, soups delicious, and the pasta was fantastic! 

I can definitely see why there are so many rav reviews of this place, it's a restaurant you'll leave talking about!",2010-11-20 17:25:18
vEdW1AiHzn4wBoeh9b5vXw,abDOyvwwWaPxybBAqzVIiQ,-JStjL-8mRZq4ov4uI1FaQ,4,0,0,0,"I'm from NYC, and finding decent pizza in these parts is a real task. Luberto's is actually a really nice option. I admit that I'm not a huge fan of the entrees, but the pizza is on point. Definitely worth the ride down 313. We return often.",2014-11-20 12:57:08
