review_id,user_id,business_id,stars,useful,funny,cool,text,date
Ddt2e0yYbBgJHlPB5KyYYw,MrScyzfSsozlJ0cBt4mqhQ,Mnr3Qp-sPIpuIjKzENqxVg,5,0,0,0,Hey W.Florrisant and surrounding area.  If you have not been to this location you are missing out.  The food is excellent. Professional and courteous service. A great place to take family and friends.,2019-08-18 19:33:45
viqHzHuuXWIAFNKKq75rAw,SAyc6gRZ9zxsyTBWrE_Nkw,Mnr3Qp-sPIpuIjKzENqxVg,4,0,0,0,The food here is really good and seasoned well. The crab boil sent in the place had me coughing while I was there. The service was great.,2020-02-03 18:14:57
dpIrjVH1FsKkUujk_eaTvg,IQsWpHccX7I6giIGbGx7GQ,aSJdDcspNCf-2oNF2E6SJQ,2,0,0,0,"Every single visit there is always a lack of something. Today, it was mayonnaise. Seems about right for subpar service. I'm surprised the ""system"" wasn't down. I hate I even gave them a second chance. Save your time and go a few exits up. It's not worth the dissatisfaction and nonchalant attitude you will receive when they are out of things.",2019-09-07 14:13:24
CiSQozj4qMsVLN9D8VQe2A,eNYdCHcCJQbCtcQVDkFt9Q,Mnr3Qp-sPIpuIjKzENqxVg,4,0,1,0,"I love this establishment! When I'm in the mood for crab legs with butter, I come here. The taste is great. I give 4 stars only because the crab doesn't come out whole. You have to slide your fork along the shell to break it open. I think that means it's overcooked. More work that has to be done on top of the work already being done. Besides that, it's good!",2019-09-24 16:18:27
h9NEO6uzVWMtYXO0QP4Bbw,XGo2NYXLM01XXRl8Z7aFDg,Mnr3Qp-sPIpuIjKzENqxVg,4,3,0,0,"My first visit was impressive especially since I'm not a big seafood fan. It was average priced for what you expect  to cost, and it was hot, quick, and *filling.* I ordered the #3 and was able to replace one side with extra of what I already had. I'll be back.  I'll post pictures next time.",2019-05-17 04:09:17
8-OnisNBmuAA4JxNvTMDHQ,tfO6iJOET3RdOJhm40jUGQ,Mnr3Qp-sPIpuIjKzENqxVg,2,6,6,0,"I went today, good portions for your money. Its just REALLY SALTY and over seasoned. I only got original butter and it was still salty as hell. So if you have diabetes, high blood pressure or high cholesterol stay away.",2019-07-05 22:42:42
4he1ez31oWViXd5TPf7dIg,ikDYSP8y2J0mw6L22twWnQ,aSJdDcspNCf-2oNF2E6SJQ,1,0,1,0,"If I could give it a ZERO I would. Slow service, HORRIBLE ATTITUDES, never get the order right. Literally ordered coffee, orange juice and hashbrowns last time and it took thirty minutes with NO ONE IN THE LINE. ALWAYS SLOW. Can't even call the 800 number and reach a manager. Should be SHUT down. Terrible restaurant in my community. Just pure trash.",2019-08-28 23:42:10
AbF3Tsu6ECRQ47EJqPO2jQ,YGzfha49Ke-IKXAuCcGLOg,Mnr3Qp-sPIpuIjKzENqxVg,2,12,5,0,"BEWARE! THEY HAVE A NO REFUND  POLICY...EVEN IF THEY ARE THE ONES AT FAULT!!! 

I am so dissatisfied with my experience here. I visited this place with two of my friends. Only one of us had the opportunity to enjoy a nice meal. My friend's order was rang in wrong and mine took over 30min to arrive to the table. Then get this... IT WAS WRONG WHEN IT ARRIVED!!! Not once BUT TWICEEEEEEE! Grrrr! By the time my food got to the table everyone was finished with their meals! A woman came to the table and introduced herself as the GENERAL MANAGER!  Disclaimer: She has to be related to the owners because her customer service was horrible!!!!NO EXPERIENCE! Before offering to remake my food she spent about 3 minutes explaining to me WHAT I DID TO MAKE MY ORDER WRONG as if I had the capability to ring it up and cook it myself. She offered to remake it... but then spent another 3 minutes rambling ,opposed to listening to the correct way I want my order. So, due to her lack of attentiveness, my order was wrong again! I asked for my $51.00 back and she told me that their system did not have the capability of refunding money! Sheesh! It got even more interesting when the owner came over and asked me what my issue was and thennnnn asked the GM for her side of the story RIGHT IN FRONT OF ME! I wasn't on the debate team in high school or college and am not debating about crab legs in a restaurant! The OWNER should've been informed of the situation before approaching the table! Then....he too refused to refund my money. He suggested that I wait ANOTHER 30 minutes on my food for the fourth time! I explained to him that at this point it was no longer about my food; I did not have the TIME to wait. After about 10 more minutes of talking I GOT A ONE TIME REFUND. Seriously?! Which baffled me because the  GM told me that it was IMPOSSIBLE!  
ALSO....GET THISSSSSSS..... the mother daughter duo next to me had an even worse complaint!!!! Her daughter NEVER got her food and NEVER received a refund! Say whaaaaaaa!!!! I thoroughly enjoy supporting black owned businesses ... but this was awful! You have to treat your customers better! To say that you won't refund $$$ in any situation is ridiculous; especially when your staff make several mistakes. I hope that this can serve as a learning experience to the owners and staff so that no customer will be treated like myself! If you make a mistake COMP THE MEAL! In what world do you tell a patron that hasn't received her correct order in what now has been over an hour ""SORRY YOU'RE S.O.L!"" 
Awful!!!! I hope they get better! Unfortunately, I won't be back!
I'm only giving them
2 stars because EVENTUALLY I received a refund!",2019-04-20 23:29:12
Enyq4s20LCVOXBYq-Ly8tQ,mTYYS_2oUX8mHERN4JZ-0A,Mnr3Qp-sPIpuIjKzENqxVg,5,0,0,0,"I had dinner out there last Thursday, and the toughest part of the night was deciding what to order.  I had a mixture of crab & shrimp, with a lobster tail as an add-on.  Each item was better than the one before it! You don't need cocktail sauce either - the way they spice it is phenomenal.  The service was A+.  Take my word for it...incredible!!",2019-07-25 20:37:37
SkCn1POkcGAwhtGH41wA6Q,m0KA2DIg3VKsvR2aQHn_jA,Mnr3Qp-sPIpuIjKzENqxVg,1,3,2,1,"They cheat you out of your food. I paid extra for crab clusters corn and sausage and did not receive it. Ordered the platter for 2-3 people. Called their location 8 times and no answer. Could not check my food before I left because it was rapped up and I all I could see was clusters. 
Krab Kingz owes me $20 for all the extra items that I paid for and didn't receive it.",2020-06-06 20:50:42
