business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
yni7QxA0Hgw5PbgR4NxKHw,Preferred Party Place,1651 Sicklerville Rd,Sicklerville,NJ,08081,39.7501430085,-75.023877181,4.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"Party Supplies, Event Planning & Services, Party Equipment Rentals","{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0'}"
FBf4fTg9BZrDYxCWTUfdFQ,Healthy Blend Cafe,609 Cross Keys Rd,Sicklerville,NJ,08081,39.7356600939,-75.0060301647,3.0,5,1,"{'WiFi': ""'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True'}","Food, Juice Bars & Smoothies",
n1HOCV74TBVZdQdOUgp9xA,Moe's Southwest Grill,611 Berlin Cross Keys Rd,Sicklerville,NJ,08081,39.7357834,-75.0083576,2.0,50,0,"{'Alcohol': ""u'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'Caters': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'WiFi': ""'no'"", 'NoiseLevel': ""u'average'""}","Tex-Mex, Restaurants, Mexican","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}"
AobR6FbXcVzagwthMfdIzQ,Hollywood Tans,579 Cross-keys Rd,Sicklerville,NJ,08081,39.7386711,-75.0019867,2.5,5,1,"{'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Tanning, Beauty & Spas","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-21:0', 'Saturday': '8:0-20:0', 'Sunday': '9:0-18:0'}"
wn1rS1Ga9xZ1BIMffnJW5A,Applebee's Grill + Bar,455 Berlin - Cross Keys Rd,Sicklerville,NJ,08081,39.748982,-74.990204,2.5,39,1,"{'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'WiFi': ""u'free'"", 'HasTV': 'True', 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'loud'"", 'Alcohol': ""u'full_bar'"", 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'CoatCheck': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': None, u'dinner': True, u'latenight': None, u'dessert': None}"", 'RestaurantsDelivery': 'True', 'HappyHour': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","Fast Food, Burgers, Nightlife, Bars, American (Traditional), Chicken Wings, Sports Bars, Steakhouses, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-20:0'}"
tx00Ucw5aza5q-yxxU2Efg,The Pest Professionals,22 Jerome Ave,Sicklerville,NJ,08081,39.7675057,-75.007239,3.5,6,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False'}","Pest Control, Local Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
rIIxv89vth24E_mRn_p-kQ,Ritz Nails & Spa,691 Cross Keys Rd,Sicklerville,NJ,08081,39.7275814,-75.0147247,3.0,14,1,"{'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","Nail Salons, Beauty & Spas","{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:0-18:0', 'Sunday': '10:0-16:0'}"
dYL6PceBDXzPxnuOOcdmMg,Anthony J Hair Studio,671 Cross Keys Rd,Sicklerville,NJ,08081,39.7294369,-75.0139306,4.5,14,1,"{'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Beauty & Spas, Hair Stylists, Hair Extensions, Makeup Artists, Hair Salons, Hair Removal, Eyelash Service, Waxing","{'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-16:0'}"
U26emOgS31JH5COcVpFOpA,Tulip Nail Salon,661 Cross Keys Rd,Sicklerville,NJ,08081,39.729709,-75.013707,4.5,14,1,"{'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Nail Salons, Beauty & Spas","{'Monday': '9:30-19:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:0-18:0', 'Sunday': '10:0-16:0'}"
YFmFu2kqkVhfc8bAZss80Q,Turnersville Pre-Owned Auto Sales & Service,2880 Rte 42,Sicklerville,NJ,08081,39.7226792668,-75.0259115669,4.5,7,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'ByAppointmentOnly': 'False'}","Service Stations, Car Dealers, Used Car Dealers, Auto Repair, Automotive","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-17:0'}"
