review_id,user_id,business_id,stars,useful,funny,cool,text,date
2EWzdYnK7WiOIVAD9_up_Q,1lm9t9D8Sh_YlF69ER0U4w,U26emOgS31JH5COcVpFOpA,5,0,0,1,I love this salon!  They are so friendly! There nail polish selection is insane especially for gel! There spa pedicure is unlike any other salon! Kym does a great job!,2017-03-15 14:40:48
YnJkzT5XvvJq3dmRpoQ2Zg,HH8pdzyQhr1oHT-9aZkWTA,rIIxv89vth24E_mRn_p-kQ,1,0,0,0,Rude. Had me wait while they took other people. I just let my daughter get her nails done. I paid and she put my money on the counter and moved her head to look behind me to ask the lady she is ready. So I sat and watched her take the next lady and her money. Well she thanked her for business and gave her money in her hand bottom line. So now I can say it's a racist business!!!!! I watched them greet everyone and thank them for their business. BUT ME. They won't get another dollar from me or anyone I know.,2017-01-14 21:09:51
Xe__9plcT4VI1oAfv9f24Q,nGWeAnwjnb6xZDcMgv2eIw,0pL-eq0ufX5jMDgVAvoHHw,3,0,0,0,"2nd time here on Saturday at 6. Reservations were for 615 seated at 7 PM. Hostess said 20 minute wait, significantly underestimated. Same thing happened first time around. Understaffed. Squeeze you in at each table.12 people at each table only room for nine. Not enough room for dishes and drinks. Food is good but everything else below acceptable.",2017-05-13 23:29:39
Tjwfp4HWCa-hpadERKxLWg,lQc6TSiehV8vSpCHnWxQcQ,e7vnHEpZdU83u2ZERPSDpg,1,0,1,0,Wanted to try this place for the first time. We pick up a menu to order later. A few hours later we called for delivery. After placing our order we wanted to pay with a debit card. They told us they only take cards in the store. Delivery is cash only!!  I canceled the order and call gin house.,2018-01-21 13:07:04
_Sp7BsxfzYJh_pTnMEemUw,4tnd3k-foRbvHLNCHVUEdA,rnioJAG4aQp2TJHUxLy7CQ,4,1,0,0,"Pikpon is a small, clean and spicy little shop you could easily miss because the sign is too small. Thankfully, Yelp finds even the most hidden gems. 

I ordered the Spicy Basil Fried Rice (peppers, onion, string beans, chili & egg) with chicken, which is enough for 2 people. The dish is medium spicy, but plenty hot for the average palate. Chicken was plentiful in the take out dish.  

I will definitely return for the Lobster or Pad Thai, or one of the many Thai drinks on the menu.",2018-03-04 00:34:24
qKdJo5P9rTKwJAk2UaTd6g,Mhd3McSlneUTjkSS6xPDZg,zrd6bulYNAKhCdSVtJ8aXQ,1,0,0,0,"I had called at 630 tonight to see what time they were open until tonight due to the snow. I was told 10. I got there at 830 and even with a packed restaurant they would not seat us because 'they close at 9 tonight' why was I told 10? I also drove about 15-20 min just to get there so waste of time and gas. The fact we were turned away is rude and unprofessional, I get the early closing but maybe  they should inform the girl answering the phone.",2017-03-15 07:49:22
9Q17CHUQohDDb1p2_GhZvA,XbYHM99u4WqHZfv6qp4cIg,zrd6bulYNAKhCdSVtJ8aXQ,1,0,0,0,"Horrible,  they have a scary mascot that scared my grandson and I asked him twice and my waitress for him not to come to our table.  Did he listen NO,kept coming back! Also served  a drink with a big crack! We will never return",2018-09-14 02:51:33
3d8mBuClS_90c0GIbbsN6w,Xca3XaX66luta0w6XLqbxg,TOVprh8VkxDRMwU-MlRgJg,5,0,0,0,"On the way back home if traveling on Route 42 instead of the AC Expressway I always stop at Licio's. If it is an early stop it might just be for some of their great bread, and a piece of pizza. At lunch I would  get one of my two favorites; The Minute Man (Italian) or the Wedgewood Paisano which has different Italian meats in it) both are delicious. My wife loves their Vilotti Veggie with Oven Roasted Portobello Mushrooms or Eggplant, Roasted Red Peppers, Broccoli Rabe & Sharp Provolone. I try not to load up on their tasty baked goods but trying to decide on whether to get a canolli or Sfogliatelle is tough.",2016-08-26 12:46:08
_DJCfyL9ebqFZtzHiX_AcA,5WktbZERzwqCNBLzSogMJQ,rnioJAG4aQp2TJHUxLy7CQ,5,0,0,0,Had excellent chive pancake and sweet and sour Thai chicken. Fast delivery to our home. Food had phenomenal taste. Definitely Would get their food again,2017-04-19 16:00:00
_e8CkWGp-l1gqmVAERT80w,Djxt8nbOFGJK6F0bzOnL3g,zrd6bulYNAKhCdSVtJ8aXQ,4,1,0,0,"First we shared a Blossom Onion (delicious ). Then we had rib eye steaks and they were cooked to perfection and had a great taste. 
We went on a Sunday about 2:00pm and were seated right away and service was OK. The waitress took our order in a timely manner but never came back to check on us to see if we needed anything until we asked for the bill.
They have a Early Bird menu for $8.99 until 3:00pm but we wanted the Ribeye's ( not on the Early Bird Menu ) 
Will go back again.",2016-09-18 22:24:53
X8DQKKj6TB3KmqbPTntKhg,6Zu3fD9TwsRaJ321cnxypQ,wn1rS1Ga9xZ1BIMffnJW5A,5,0,0,0,"I love the bartenders! So sweet and so charming ! Brielle by far is the best, so sociable and very charismatic! i always try to grab a beer when she is around !",2018-02-12 21:26:36
b4ClkSS2vvrs2W_VkoRfHA,57SQLiv8zBgpSFuQkOMGDw,zrd6bulYNAKhCdSVtJ8aXQ,5,0,0,0,"I don't care what other people say, I really had a good experience at the Texas Roadhouse.  FYI:  The cheeseburgers are very good!",2010-01-11 23:31:19
4bU5pm8kxtxGQsKJ4QnHZg,iJe_4Z_731GUnEFYZ8xREw,yni7QxA0Hgw5PbgR4NxKHw,5,0,0,0,"It was easy to work with Preferred Party Rentals for a June graduation party. We browsed their inventory online and placed an online request for quote on the items we were interested in  (tent, tables, chairs, linens, etc.). Then we talked with them on the phone and tweaked the order (they suggested different size tablecloths, etc.). The delivery crew coordinated well with us and quickly set up the tent. Everything was easy; we will absolutely use them again for our next party.",2016-08-25 15:21:31
bYmgkRnGHPOebzHmAl2mzg,jrzdSEG7W7vBi7Yiij8VPw,0pL-eq0ufX5jMDgVAvoHHw,5,0,0,0,Best sushi around!!! Try their double punch roll! Aaaahhhhmazing! True authentic Japanese me sushi!  A++++,2014-07-13 18:44:10
PRnV01VAWvpKE5aWD-X7lA,HmBatDDDCN6YYu5kQe8udA,zrd6bulYNAKhCdSVtJ8aXQ,4,0,0,0,"A great meal that my family really enjoyed!  You can tell that the management and the staff here really care about delivering an exceptional dining experience!  Steaks were seasoned perfectly and grilled exactly how we asked.  They have a fun Tuesday night kids theme ($1.99 kids meal with a drink -what a deal!) with a mascot roaming the restaurant, face painting and a ice cream topping bar.  Better get there early to get a table as the crowd waiting as we left tells me the word's out about this great family restaurant!  In a sea of horrific chains Texas Roadhouse in Sicklerville is head and shoulders above the rest!",2018-05-08 22:49:04
eMZy0IbIb-xadiT4t8PLew,ZUMe-enV3KLG4-dIB9MPwA,TOVprh8VkxDRMwU-MlRgJg,5,0,0,0,Awesome place!   I wish I had one closer to where I live. Homemade Italian breads and desserts in all different shapes and sizes.   Great subs and pizza Great place a must stop,2015-12-05 16:55:07
wH4fHFykPwl2bLXutJI1-A,75v7IhUS_UV9JORmWQjx1w,QCZvkvipsfyZ_5uBy3PkpQ,1,0,0,0,"The worst wawa I've ever been to. Don't recommend ordering food inside: their employees are just standing and talking until you actually get something else, pay, walk around for a little, check if it's done yet and finally give them a look. That's when they go ""oh! There's food to make!"" Making latte in the morning takes them over 5 minutes, they're watching videos on their phones, chatting and slowly walking towards their stations. I hate the fact that it's the only place where I can get coffee on my way to work. I am the manager at the local pizza chain and my employees would never disrespect customers like that: if food has to be made they make it instead of talking! If the manager is reading this right now please take care of the situation, look at the cameras and you will see. The whole point of getting food and coffee at wawa in the morning it's because it's FASTER. But that's not what your employees think.",2015-12-21 20:34:36
q2StgsyxxdZJIcczCP4ehA,oSG8xoN32MmqmrDprlfxxA,zrd6bulYNAKhCdSVtJ8aXQ,3,1,0,0,"BBQ chicken and baked potatoe was way too salty and the place was very noisy.  On other hand the wait staff and endless rolls were amazing and BBQ ribs, salad, and cheeseburger were good.",2017-01-15 19:26:17
QTYETXErVMmFfHwHj_I_vQ,1lglUspLabvtgITNgHLXZA,JJdE903Q0UhJyDcsyv62Ng,2,0,1,0,"Had lunch there, staff were a delight, food over priced hate the bag thing. I like plates eating in. Just go to Wendys' or Denny's. Denny's has a double cheeseburger that's really good and it's served on a plate.",2015-05-14 00:01:56
SRLXVYKP6exxuzpfa1gW1g,-b66K5diYIQCydShlfkRWA,n1HOCV74TBVZdQdOUgp9xA,1,0,0,0,"Ewww!!! I used to go to this location all the time, the staff was always friendly and I could count on it being good. There was also usually always an employee cleaning. However, after the experience I had today, I certainly won't be returning. The place was filthy. Food all over the window in front of where you order, food all over the floor, and food on almost every single table. I bit into my taco and thought it tasted weird, then looked and discovered that the chicken was dark meat with skin on it. Wtf happened to this place? I'm really disappointed. Please fix this store, no place where food is eaten should be this disgusting.",2017-12-03 00:02:57
lVqr1KxFvHy27uRb8T4Gyg,87UCrWpDWs_LJnn7WIgPyg,zrd6bulYNAKhCdSVtJ8aXQ,5,0,0,0,"Once again, this place is awesome. I love the Yelp reviewers who complain about the peanuts and peanut allergies. Are you for real? Order a steak and ribs. Do not order anything else. Every month I eat here and it is the best value for your money. I always go home with leftovers which I make a whole other meal out of during the week.",2016-07-25 15:02:11
qMyOOOg8lz5oa3P9_eq0wQ,r-VHUiaLkjNsBxGdSqhbRQ,n1HOCV74TBVZdQdOUgp9xA,4,1,0,0,"I am so glad that there are a few Moe's in South Jersey. I discovered Moe's when I lived in Southwestern Florida and I have been a fan ever since. The staff always gives you a warm greeting when you walk through the door and I never have to wait long for service. They have a diverse menu and the ingredients are always fresh. I like that you have a choice of chicken, tofu, ground beef, pork or steak for all of their entrees. Another good thing to mention is that they provide a few gluten-free alternatives as well as vegetarian options. Their salsa bar gives you a choice of four different salsas to go with your nachos and entrees. This is a great place for people who don't know much about southwestern food or people that would  love a healthier alternative than Taco Bell.",2012-05-29 19:19:29
fqXxoplQPWDZ1ZJ4Bg2hfQ,178lUNiULUgxi8fdm1zXmA,wn1rS1Ga9xZ1BIMffnJW5A,1,1,0,0,Bleh!! Their food is so gross if you order late and for pickup. I gave them more than one chance and I regret it,2011-09-27 13:28:19
