user_id,business_id,text,date,compliment_count
Oi1qbcz2m2SnwUeztGYcnQ,HFq60sdhRCUcauMDVy3Zdg,Really good sight lines to the TVs from the bar!,2011-10-06 15:17:50,0
Pj2Fjzqcdjj0DWYjwpWX5A,LcfXZV38PcTUEnZoM2vzXQ,The drinks are reasonably priced (love the Bahama Mama!) Kirby was an awesome waitress. Thanks for a great experience!,2012-08-02 02:27:52,0
1E32wgTtwoYj9BVIiCusrw,jcnKA1gG7Tek_UT2zWBI6w,Don't try the Peppermint Chocolate Chip Milk Shake. Just stick with the Strawberry.,2010-11-27 21:13:08,0
mmxQQJHrOuX__httcUWI3Q,LgHYTrrRhajfo4y8jkVQPQ,"Check out the old school (circa 1940s?) aerial photo of the surrounding area, a cool artifact from the history of the area.  It's hung in their dining room.",2015-05-18 23:00:13,0
Rr4cLb6Go91FT134o6RsKg,Q9sFXUwe6HIlciXXzBUz-A,1st time here,2014-06-11 16:35:57,0
flRJ56CSuNzrq4UikIPeUw,OEzYP44ER97a1hi4LgR6bA,Great soft corn tacos,2014-06-21 19:02:35,0
KpFn2ePZinZ9tgXyzPs62g,jcnKA1gG7Tek_UT2zWBI6w,"Good food, good atmosphere, great price, great drive in too",2016-10-01 19:23:54,0
E_9Mix_1Z2njw4ct7VRCGw,wpgJ4h0Nw6e8UX45clbjTQ,"They had a long run, as Richetti's, too! Went out with a wimper, damn shame!!",2013-08-30 07:20:05,0
UHy6hvtvpYHxIYv02PE3bA,Zft41ckwpC3796GyeYnMEA,"Cheap yummy tacos.  Weird location, but quick yummy tacos.",2013-08-24 01:19:18,0
dqucQwA-CHWhUczwqIxKKg,fBNA-TdL4RcKVVKcku8HUg,EXPENSIVE for families so maybe wait for monday nights when they have movies. Could be a night out,2014-06-13 16:24:18,0
E_9Mix_1Z2njw4ct7VRCGw,ui4DfohP2wEh-BJbr_2D-w,"When working at Klein's On the Square, this was a great lunch alternative or take home after work, they were GOOD!!!!!",2012-10-22 02:58:11,0
TPbdbLO6s_P8nDb5VebUpA,uLyy8QfMraMbN4s0hYi55w,"They use very clean and sterilized nail equipments! Opened up the bag of nail cutters, cuticle cutters, and etc. in front of me. They also put salt soap in a container which is great!",2016-11-17 23:23:47,0
UYgAC9mvMYc12Ufc5KVUnA,1G2ioVP2reLd73NQroGONg,"Seriously the worst meal of the year. Over seasoned, over cooked. And the place smells!!! WTF? Mildew or unwashed bar towels. Ugh",2010-12-06 23:31:07,0
NIvJg811OO-ovOOg_2udAw,jCX82r0PG1v0EWMdC55ASA,They do GREAT JOB here!,2017-12-08 18:46:09,0
RKULSOrIvvYpDmtuYXEXzA,nV9XClMRPTDWhak4FTkyyg,First time here,2014-04-05 00:02:53,0
AvGJVv7Z3a0q1MJT1Ykd0w,JRnBeNG6jgGr-YGAulSL4g,Harry potter 7,2011-01-13 18:53:08,0
IdE0QGnaL6chsG1M7rggWw,1G2ioVP2reLd73NQroGONg,Surprisingly small portions for an Outback and the lines can get very long.,2016-09-04 20:51:54,0
CADhesj7J_-U9PKVpPGq4g,Q9sFXUwe6HIlciXXzBUz-A,Just didn't want to go home yet...,2011-10-22 23:47:14,0
DWIEQEAI7OgrZAlH9OSy_w,3HhWrnNjv1J_yog9eFZFDg,Awesome specials!!!,2014-07-07 22:17:19,0
6Syy3yHHYTWNSbjDt7AdLA,CQ6fXpRrvtlaM1eiMdPxkg,I only come here because of the parking. Pickings are very slim.,2016-12-04 19:08:45,0
5tjsufptT7zlg2XVWvq_iA,r3WqxVABtyKMaU6zaIp21A,King Pao shimp and brown rice for ZZ.,2012-05-28 23:40:32,0
Rr4cLb6Go91FT134o6RsKg,Q9sFXUwe6HIlciXXzBUz-A,1st time here,2014-06-11 16:29:58,0
khgj-bllN4wbgykJ3MSL-w,e9siFV6ldmhiSK6xrnw8kw,Geese all the sales it must be back to school time yea,2013-08-17 16:54:09,0
B4cnr5d2S_7McR3XBfrscA,oH7kVPQy98Dvh1dNVvkwpw,Still decent food but the staff is just rude.,2014-06-23 15:26:07,0
khgj-bllN4wbgykJ3MSL-w,e9siFV6ldmhiSK6xrnw8kw,Always seems very lonely in here. But if you come in and look around you always seem to find a good deal on something.,2014-03-16 22:54:45,0
h4PzmX1DvnzbahotswNLVA,QhYkr3FO7fz65ULwDPCeEA,Need reservations,2013-08-24 23:50:38,0
M_gyNe1GCuAIVGUWWO28ng,iLK3A45AX5mIzp06gf1DTg,Local yocal pub with cheap but good food. Specials on certain nights. Live music on saturday nights. Quizzo on Tuesday nights.,2010-02-27 02:27:16,0
GDC-MT4dQM_lmopCjCqAJQ,Twy-1_FM5ROYMi_frf-ecQ,Picked my order up .. no cheese for my fries.  No blue cheese for my wings. Womp womp,2015-02-22 21:53:11,0
QTO-6rUz0oACMskTtO1u_A,I01T3bIv2B7FWfkzgcVpPQ,"Now that it's heating up outside, the pool has more occupants. Uggghhh",2014-04-01 01:32:38,0
NrMkwmLHhWgmoZZh7tqctA,fuXrwJhfEsvMlrBGbigLJA,Love their breakfast food. Been here a ton of times and never had a bad experience.,2017-03-12 21:15:14,0
fp3cpuEJcY7WCdPH4jgUjA,vFpbUcVAXxrSz5mFIzKbyw,For a slow Tuesday night service has been horrendous.,2016-12-21 03:14:07,0
n9Sl1r0y6cWKJE8FmwpgQQ,RPgxx0yCxGXvWx8KKpc1DQ,Don't get a warranty here. Waiting for an hour for the geek squad every time your item is acting up (which will probably be often) is so far from worth it. No more best buy purchases for me.,2012-06-21 16:08:19,0
R95jUAYcnhesh9L5kCSeSA,QhYkr3FO7fz65ULwDPCeEA,Be kind to the people who touch your food. That is just a generic tip.,2014-12-26 20:06:27,0
3RCWv-XDfrCOxDeTyUXXiQ,vFpbUcVAXxrSz5mFIzKbyw,It took us a long time to get the check on a Sunday when it was not very busy.  We probably won't be returning soon.,2014-01-05 22:34:51,0
OMvpxF0dEIh9RUNuHPL1Uw,ui4DfohP2wEh-BJbr_2D-w,Closed till sept 7,2015-08-31 16:22:18,0
3P-TNvo7zSNPUVkiDkNTqw,7Y6lpSwXVcpn3rfoJD7T-Q,"Nice place, not too pushy. Overall satisfied. Beware of their sales tactics like showing a ""better"" version of the car you request and then realizing their ""mistake"" after doing the testdrive.",2013-03-12 17:21:06,0
Cct9WdQuLYYUzSqtfzR_bg,_UkuPzo66XqIN2hvYLlqEQ,This food is amazing! Our waitress was very personable and hilarious.,2011-07-16 01:22:11,0
xAWmRgn72zqpH9B79Tb5tw,JRnBeNG6jgGr-YGAulSL4g,Capt America with son.,2011-07-23 16:00:25,0
flRJ56CSuNzrq4UikIPeUw,h1qdksqlwGpmp_Id8j5CXQ,Great fabric selection,2014-06-08 19:46:54,0
UxFw99LG9LT1CNxj2PJmIw,r3WqxVABtyKMaU6zaIp21A,"Beef fried rice and ""dynamite"" chicken were tasty.  Lots of food so recommend sharing a dish",2012-11-03 15:56:58,0
0Z51pTFloLKo1-U-xOH7MQ,mLhVT1B9NtxiDR9ZPfgL1Q,Great customer service!,2014-04-09 14:34:44,0
hvjtx1rWYHliiuh1knesdQ,nVI9wI9ujmrutJRMgHKSIg,Nice portions...everything taste fresh and its family owned which I love supporting.,2017-07-21 00:38:36,0
CADhesj7J_-U9PKVpPGq4g,iWpS5QvlOqAthz-XIp09jA,Mom seriously requested to eat here for her birthday...,2012-01-02 01:31:24,0
dqucQwA-CHWhUczwqIxKKg,LcfXZV38PcTUEnZoM2vzXQ,Lobsterfest !!!,2015-03-23 16:02:42,0
ppsm8EDKjA1fp1yTCP3RrQ,IJOIvIB_lZ7Zk2LEnXCxjQ,Closed as of July 27th. Owner is looking for new location.,2012-07-30 12:51:50,0
CADhesj7J_-U9PKVpPGq4g,Ciqsv4U4zuUnv8lDBPUGjw,Doing some Disney trip business.,2011-12-29 19:30:49,0
0SHPAOTm5ezV3hzfY5qYkA,0XHO9Af7O0GQ6ynGmJmjJw,You get what you get loud noises and cheese,2014-06-08 16:49:02,0
EXJj7S_nsfqgraUUaYM3BQ,O7OHQWoi0rYNt2ShRZTKPg,"Been 2 many Banfield in Petsmarts: Las Vegas, SLC, Miami, Orlando, Wilmington, ++. Dr. M in Springfield, PA is my pets favorite vet.",2011-11-01 15:10:47,0
d30bMRm0_zcSjvoKqTIphA,V7TaLZ5EB94hqRIZ1_xjGQ,Great BYO.  Really fresh sushi and a beautiful ramen bowl.,2017-10-08 23:03:47,0
Oi1qbcz2m2SnwUeztGYcnQ,8f5BnHWOn7Igey-TNoY0_Q,This is a bar for hanging for a few minutes while waiting for a table! Nicely appointed and efficient bartenders.,2013-02-19 22:33:44,0
