user_id,business_id,text,date,compliment_count
trf3Qcz8qvCDKXiTgjUcEg,7Rm9Ba50bw23KTA8RedZYg,"Chili Cup + Single Cheeseburger with onion, pickle, and relish + Vanilla Coca-Cola...so far.",2012-03-13 04:00:52,0
wM7G2F5HKi62yvO-HM51zQ,3VvZpyRMg5p3nH2-iK3-Vg,Dessert menu - on a chalkboard above the bar :-) :-),2016-01-24 03:51:10,0
x-8k5jzFftrIV83M98smmQ,uWLFplSCk3lI9rf84ZDwUw,"Good biscuits and sausage gravy, but you've got to ask for it because it isn't in the menu.",2014-04-04 14:27:21,0
q4hQSVOCK-FfNfqPqiBh4g,aM3gFY8Eq2KJuvNBlGPJEA,Get a free tote for checking in with Yelp @ the Brentwood location!,2013-08-26 00:29:42,0
trf3Qcz8qvCDKXiTgjUcEg,8W03O-MpzfkYRgxuagrcPA,"Update!

They now have alfalfa sprouts!",2015-01-21 14:56:31,0
bYENop4BuQepBjM1-BI3fA,79nXYNRPoZBc9_y_OLZg2w,Purse Hooks Under the Bar,2016-05-25 18:51:50,1
wM7G2F5HKi62yvO-HM51zQ,aM3gFY8Eq2KJuvNBlGPJEA,OMG! the band they have here today (12/27 @ 2pm) is SO LOUD! My ears are still ringing & they stopped playing like 5 minutes ago! Crazy! :-/,2013-12-27 20:08:06,0
W2IVhdaJOoJtXNOQPg73bw,v1dOT_0SGxKT51tN-jXTxw,It's getting busy so watch what time you go.,2010-12-14 01:28:14,0
PWdye8-VRbkTtKP8oCvDYw,mNO9pUXwxP2VgOhXIPOdgw,Wear your winter clothes if you're staying - brrrrrr,2012-07-28 20:30:03,0
q__Lhjiwr9qHnmmC2jtopA,gKBqK-FFq7EGOUscBqb1iA,Great Happy hour. Half price draughts and hummus. The Charleville is excellent,2010-01-21 23:48:35,0
EW3jDZFPhUEKPxPMhxLN8A,kuPgnP7jE6FmPx8C4fIs7w,"For the POOL: locals, get there no later than 11 am to get a prime spot. Fills up",2017-09-30 20:09:44,0
17oGtPlD4W7JG0J2CZ0yFw,Ac0W0fBY0WRQ8LqdCRXUAQ,Rare roast beef so good!,2012-05-18 02:47:59,0
zc7wQeHkJS5tliTg78hjJw,Nzzbx6AwQMk6wGtVWlUGAw,Great selection of games and anime,2013-12-19 20:20:51,0
SNZJNz1WEIMECEk-TAYADQ,6Gx45ltNNZvjzVBO6ZgVOg,"Great food, fun place!",2017-10-10 20:13:08,0
iCaN6GlQfuLgRIOvAJLbVQ,_8bELjUz5tnftBbXAxKyjA,Nice cuppa tea,2010-02-02 18:20:06,0
UlWDGR0QrBbdFsVY6ugocw,n6c9PiJIpe1Vjuv3o-JRxw,Blues viewing party,2011-10-22 00:00:22,0
cGo51r_TDYopVyDJlPTyxA,cfTNnoBa3afaVRHY26kERQ,Bucket beers and TVs this is a sports bar.  Big parking lot and lots of Blues fans.,2017-03-10 23:56:48,0
bYENop4BuQepBjM1-BI3fA,EmN6j5PKKUL7DkXnM267aQ,Order your wings extra crispy. Trust me it makes a difference. Some how they seem to be more flavorful.,2010-12-04 22:21:06,0
STl8hIjpwheaW12MO3WDww,oiD4N-h7GotnsiXEa4Er5g,The food and service were incredible. We will be back!,2016-11-27 12:58:14,0
dT1VCig4WKDztRZmEcWTXQ,exAkg2N3E_LZAN7XgSCkVw,"Poor communication, poor execution, and poor follow up.",2016-04-22 13:25:35,0
CIT2QNZ_i4DGjTVz_SUieg,AtQLrRpQan7UtJcIAo9hsA,Get the 3 little pigs wrap!,2012-03-29 17:03:28,0
6AtlFGbu3Ul2aCxCV4eNMQ,79nXYNRPoZBc9_y_OLZg2w,Happy hour $2 tacos after 10pm. Do it!,2016-12-19 19:51:46,0
XTraoWA-NVwt2KLd8rdfOg,Qcf4ihbB6V0FykFxppv_8w,"Haha, just saw a guy walk by w/ a Packets hard hat on! At the gym! Lol",2011-01-17 20:49:43,0
bYENop4BuQepBjM1-BI3fA,bqR_3sT_rNp0hZglPtX6rw,Enjoy Late Night Happy Hour,2016-04-05 23:29:50,0
mIhyBkwPmOBymkDN_zZzxw,mNO9pUXwxP2VgOhXIPOdgw,Kool place to sit back an get a drink to relax or do some work ..,2017-04-06 23:23:17,0
uXHXWvY8661zHWHNh5AyyA,6FvC6w810uf6O7Ocd6Wpog,They have a drive-thru!,2016-08-07 18:05:31,0
trf3Qcz8qvCDKXiTgjUcEg,5vqhAPukLZdPSc6YFrAWWw,Salad.,2012-10-10 20:17:49,0
WVCgjoYPl7jPhXjPcSR02Q,m0FGtr2iw-0adkyVHsI0Mw,Coffee,2012-10-05 12:01:58,0
snp67z8MYB37z_b0K-PVQA,zXTO8GaLmRPATr505b4GQQ,Can soda is 1.75,2018-03-24 23:50:35,0
h8l7bu1MW6V6I3KOaLbMzw,gKBqK-FFq7EGOUscBqb1iA,Bison burger. Yum! Great vibe.,2010-05-04 23:04:52,0
etGUoX7XsekDbmaCCYyKBw,Aub2rSbYunQeKXoHHzxMnQ,They have really cleaned this up and are working non-stop to keep it that way;  the staff is PHENOMENAL! What a great experience.,2013-06-07 22:02:37,0
XTraoWA-NVwt2KLd8rdfOg,Qcf4ihbB6V0FykFxppv_8w,Senior citizen day?,2010-12-06 14:43:03,0
z-mZBtyZx0XoQgY3KTZhHg,hJkkXDmu6woTWD300bw09w,Raspberry draft beer is awesome!,2012-06-07 01:56:41,0
Y9T1Bs05q8CZdPa4MHcaLA,6FvC6w810uf6O7Ocd6Wpog,Cool spot just opened 10days ago!,2016-08-09 17:56:00,0
BY_7xEliSP5iEig9bemaKw,w22r6h9D_Sc7JVMelcpOTQ,If you've ever had Pasta House....it's the same everywhere. Don't be expecting haut cuisine!,2014-07-01 16:53:57,0
DQLIeWYj1YVQbxGDzw9Scw,QDIayj7bwqoH-rrBfbBZBA,Actually a pretty good iced mocha.,2014-03-18 12:12:00,0
luYbHv9UZA_9SOwpRuHopw,gsyyVQmvT9A2nAgUi7VUag,The Classic NUDO Ramen is a great choice for first time visitors.,2017-12-05 23:18:21,0
lMY8NBPyzlPbbu-KBYfD9A,a-MYqHxvpmCz3ZXy2illiA,Drive-Thru makes this location superb,2014-06-10 23:09:57,0
6oefshLE7zfPeUwkcQD1iQ,uJoDAE-YHKUz67rZyIGyFg,Guacamole AND hummus! What a tasty deal!,2015-02-07 03:28:15,0
hZ-ZtZ3bqZg6GhWepqj20g,fKvPZFJtkPGsWmJR4XSGzg,Lunch with my amazing wife.,2011-07-20 16:22:12,0
v95s9p50rurFb1x2NmY4qQ,n6c9PiJIpe1Vjuv3o-JRxw,Poker!,2010-08-04 02:00:20,0
nr35WjC-YI0dFcsnW33Szw,RnExaICvIeXxFpbIKEqJsQ,"I know people come here for the blowouts - which I have done, but I really like getting lashes done here for the cheap ($10) when I am low on time and need something to sparkle myself up for the night! And usually I like getting extensions, but these very temporary ones will do just fine. They aren't full strips.",2015-09-19 18:58:40,0
MUO1oi3Yg435GY5TWYHtCg,vQrXwWBs6Yrv46YFMIZRmQ,Friendliest store in town- my a__!,2011-10-09 21:08:55,0
Vaw5DUlK46KrmyDIX3cYbw,NJaR_2hke7NNAC6l1Ohr8g,Fun atmosphere & great Tex mex!,2016-11-22 02:16:37,0
CBz-yziWSSLNoMG__3kknw,uBfQrP5U7XSxQX5XzM0oSw,"Sunday brunch buffet 10-2pm. It's $29 so make it worth your while. Our high choices from today: kids loved the pastries (no surprise). Adults enjoyed herbed beef tenderloin, omelet station, Cajun French toast, perfectly poached salmon w creamy dill sauce, and my favorite made to order eggs Benedict- some of the best Hollandaise sauce.",2017-01-22 19:24:48,0
jkgRx9XT5fPCsSVNB5phaQ,n6c9PiJIpe1Vjuv3o-JRxw,Free Soda and Coffee on the back wall the poker room and high limit room. Coffee is actually awesome,2010-11-20 07:32:10,0
2vgqdk3vuAM-LTRKxI9nfA,aM3gFY8Eq2KJuvNBlGPJEA,Good samples tonight!,2010-02-02 23:33:16,0
eWu1xPt52B-yMZmIyBIUsw,-2PzCCRmUICl0lTrF8ih8w,Hoping the reviews don't effect our pictures. I am sure it will be fine.,2012-11-18 18:25:50,0
