from,to,weight,type
LiiUu5TS7Bjjoq9xd8tKEQ,_BcWyKQL16ndpBdggh2kNA,1,friendship
_BcWyKQL16ndpBdggh2kNA,paCWvJDzJdFDfPMLAUbZlw,1,friendship
_BcWyKQL16ndpBdggh2kNA,h3KYuVHhr59Q-UFloqhLHg,1,friendship
SmXK0xM_yCX67zxOxCNp6Q,_BcWyKQL16ndpBdggh2kNA,1,friendship
JvljCKbnjcDFrWkrqQUdEQ,_BcWyKQL16ndpBdggh2kNA,1,friendship
8MKygqfspKqG2-X9ycR-Ow,_BcWyKQL16ndpBdggh2kNA,1,friendship
-G7Zkl1wIWBBmD0KRy_sCw,_BcWyKQL16ndpBdggh2kNA,1,friendship
EuU4rgWWkIDc-hKd7-XaKw,_BcWyKQL16ndpBdggh2kNA,1,friendship
V1rial53zLecglzJl9cIMA,_BcWyKQL16ndpBdggh2kNA,1,friendship
_BcWyKQL16ndpBdggh2kNA,q3lPWLreF9PLh8lLlWgwDg,1,friendship
_BcWyKQL16ndpBdggh2kNA,wgiVsn5ZtsxULQb2K2gioA,1,friendship
_BcWyKQL16ndpBdggh2kNA,xgjhHk82pMGIEp4Q9WTHqg,1,friendship
P4iywYHwhZuersWm5moVuw,_BcWyKQL16ndpBdggh2kNA,1,friendship
X7zm8FuL1iDfIbfFK9WFBg,_BcWyKQL16ndpBdggh2kNA,1,friendship
_BcWyKQL16ndpBdggh2kNA,c9kbgFM9uxrQn5p_AdGfgg,1,friendship
8MKygqfspKqG2-X9ycR-Ow,ptszYqvULb9AT04VfKaXfg,1,friendship
-G7Zkl1wIWBBmD0KRy_sCw,LiiUu5TS7Bjjoq9xd8tKEQ,1,friendship
-G7Zkl1wIWBBmD0KRy_sCw,h3KYuVHhr59Q-UFloqhLHg,1,friendship
V1rial53zLecglzJl9cIMA,h3KYuVHhr59Q-UFloqhLHg,1,friendship
LYbV_fjPzbRs6ePlomPXcQ,fsetDNZ98600G2c57dH8Iw,1,friendship
V1rial53zLecglzJl9cIMA,ptszYqvULb9AT04VfKaXfg,1,friendship
LNEyUWtTpvvMhp9KssJPIg,gvkiCtqDBpGEz_76sNUgQg,1,friendship
V1rial53zLecglzJl9cIMA,h_WJ9jf22thDw10b1KL-cg,1,friendship
-G7Zkl1wIWBBmD0KRy_sCw,V1rial53zLecglzJl9cIMA,1,friendship
-G7Zkl1wIWBBmD0KRy_sCw,xgjhHk82pMGIEp4Q9WTHqg,1,friendship
-G7Zkl1wIWBBmD0KRy_sCw,vUie5j2dKqROjhhWvRIu4Q,1,friendship
QLPylO8wa5C4XeY4LhGUuw,lmQz2SutpT697wbZHHXaAg,1,friendship
QLPylO8wa5C4XeY4LhGUuw,_rLQ_O6F3x22ma0kJQyajg,1,friendship
QIlOPJBsn5JDyMW1hrH6GA,tgnaLD_aIOeV_DOhchWBoA,1,friendship
_rLQ_O6F3x22ma0kJQyajg,lmQz2SutpT697wbZHHXaAg,1,friendship
LRxi-2lQxuFUnUQ_8-YWkQ,fpLDYV0GdGEgu-CNeGUIIw,1,friendship
B5bHqJfM3fG3HA0NHXj_xw,D3yO7quQ-POhFY-2l6Ol-g,1,friendship
IK_DwNxedVYqA_jjjZj05w,r4F17hOtCpOJHMfv13n-2Q,1,friendship
554bDWDey46hewu-dwB1Pg,ssinwYBJs2mtM6fQq0bj-g,1,friendship
IgjVcOVWtniIEB1gRzUKsQ,hjx_XSEjpR7nPUWOaVoEWg,1,friendship
