id,people_name,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
_BcWyKQL16ndpBdggh2kNA,Karen,4274,2008-05-29 12:29:54,16950,5203,9759,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",558,3.69,357,59,42,15,35,262,498,394,394,191,36
8MKygqfspKqG2-X9ycR-Ow,Hunter,189,2008-01-02 03:56:16,672,266,384,"2010,2011",15,3.68,20,9,4,0,2,40,66,38,38,24,3
LiiUu5TS7Bjjoq9xd8tKEQ,Brian,458,2008-05-29 20:40:30,1050,177,552,"2010,2011",27,3.87,7,4,3,1,0,11,16,14,14,19,7
JvljCKbnjcDFrWkrqQUdEQ,Frank,166,2009-02-02 22:14:48,292,80,155,"2009,2010,2012,2013,2014,2015",10,3.49,9,3,2,0,0,12,5,18,18,7,0
gfWTee4CnQF-shBgAsvI9g,Pooh,148,2007-03-28 19:00:35,549,590,357,,29,3.3,24,11,9,4,4,38,91,67,67,35,1
paCWvJDzJdFDfPMLAUbZlw,Colin,24,2009-12-22 22:45:18,29,5,11,,1,4.12,1,0,0,1,0,1,1,0,0,0,0
fNrHrQa2kS-SxuLiQWGxtg,Jason,133,2009-02-07 02:48:56,471,127,64,"2010,2011",14,3.0,0,4,0,0,0,10,1,5,5,5,1
92vgUkcLlTjbb8vNC1gMMw,Jenna,58,2010-07-26 00:05:09,40,17,17,,3,3.97,1,0,1,0,0,1,1,2,2,2,0
SsJFLJe_YKWDc4FBOKahEg,Cat,15,2011-09-25 18:32:47,18,8,3,,1,2.93,0,0,0,0,0,0,1,1,1,0,0
h3KYuVHhr59Q-UFloqhLHg,Christopher,386,2010-12-09 22:17:27,656,101,208,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",24,3.09,2,2,0,0,1,18,21,12,12,8,5
LYbV_fjPzbRs6ePlomPXcQ,Joe,50,2010-11-29 20:16:09,29,31,7,,0,3.71,1,0,0,0,0,2,0,0,0,0,0
ptszYqvULb9AT04VfKaXfg,Teri,101,2009-11-09 15:18:01,168,57,69,2011,12,3.84,9,7,0,0,0,4,22,10,10,4,1
7-ahDxB3qUg6nf3tvfG5Nw,Stephen,100,2009-04-17 12:03:39,102,12,22,,3,3.64,1,0,0,0,0,2,4,1,1,0,0
gvkiCtqDBpGEz_76sNUgQg,John,35,2011-02-21 02:16:09,43,32,17,,2,2.97,0,0,0,0,0,2,2,0,0,0,0
h_WJ9jf22thDw10b1KL-cg,Kristen,143,2010-04-18 21:19:24,181,44,27,"2011,2012,2013,2014,2015,2016",4,3.64,2,1,0,1,0,3,4,2,2,4,1
0Kbnp4GzpGW2rLmfWk_N_A,Ethan,61,2008-06-29 23:03:21,117,14,33,,2,3.92,0,0,0,1,0,1,3,2,2,0,0
9jcbhGaI0qXnueQU7NupWg,Edward,165,2010-01-03 16:41:42,323,61,82,"2012,2013",9,4.32,0,1,1,0,0,13,29,10,10,8,7
5k_g7SIrcVotE8tqNcQVOQ,Da,181,2010-11-27 20:58:40,123,36,14,,3,3.36,1,1,0,0,0,5,2,0,0,1,0
ssk8jw1gTdWSN_KqFvO06g,Seph,192,2011-08-06 17:06:43,338,74,154,"2015,2016,2017,2018,2019",11,3.5,2,1,0,0,0,2,2,2,2,1,1
11xwVSDv1ytjcyvUiyBWaw,Dennis,71,2010-04-15 04:17:48,156,58,20,,2,3.08,0,0,0,0,0,2,2,1,1,0,0
TRzbT9POo8TswwyTigIQDQ,Karen,73,2012-04-08 21:34:53,40,31,9,,6,2.87,0,2,0,0,0,1,0,0,0,0,0
3e8jpz0axiPJhc-mR_zSxw,Pete,401,2008-12-26 18:38:17,273,42,120,,13,3.82,3,6,1,0,0,9,8,10,10,3,3
A6PAzZcMGaYXS1NUnMB2Zg,Jessica,26,2012-05-16 20:21:52,6,1,2,,0,4.33,0,1,0,0,0,1,2,0,0,0,0
PzHHr5_J8DQOzo4SN_40yA,Shawnee,5,2009-12-28 23:20:09,2,0,1,,0,4.8,0,0,0,0,0,0,0,0,0,0,0
pYB6AW4L3V2NEfmzNlzA_Q,Bob,57,2011-09-07 00:08:50,81,26,15,,0,4.33,0,0,0,0,0,2,1,0,0,1,0
Yh9lPEjBrncRV3eYXZdvUA,Jason,12,2012-02-02 15:53:52,6,0,1,,0,3.75,0,0,0,0,0,0,0,0,0,0,0
_h-YWrehajI0Ukq3jIf8RQ,Charles,17,2012-01-15 23:58:09,17,2,1,,0,3.47,0,0,0,0,0,2,2,0,0,0,0
KTMNUAVdbLo32dULFOzKCg,Dana,11,2010-08-17 21:10:01,1,1,0,,0,4.18,0,0,0,0,0,0,0,0,0,0,0
P4iywYHwhZuersWm5moVuw,Jake,218,2011-01-08 01:37:32,242,79,54,,5,4.01,1,0,0,0,0,7,9,1,1,1,0
ff2iJzNaUKZdaXdjEZBVRQ,Ellis,58,2009-06-15 00:16:31,46,2,14,,3,4.14,0,1,0,0,0,2,0,0,0,0,0
LNEyUWtTpvvMhp9KssJPIg,Jana,189,2012-04-05 03:59:45,134,24,41,"2018,2019",6,3.77,1,0,0,1,0,2,3,2,2,0,0
V1rial53zLecglzJl9cIMA,Brian,229,2011-06-03 00:09:40,456,80,138,"2014,2015,2016,2017",15,3.6,2,1,0,1,0,8,11,5,5,12,0
puCCWuyvq_0mArX1iYBGrw,Trever,68,2008-12-18 00:27:55,45,9,23,,1,4.05,0,1,0,0,0,1,2,1,1,0,0
isgg7B3G6SFOM5b9P2gFGw,Rob nicole,18,2011-12-20 19:07:46,32,3,0,,0,3.28,0,0,0,0,0,0,0,0,0,0,0
SMIlDahlmtwr3KZijF0qIA,Tim,47,2010-09-04 22:07:00,56,10,5,,1,3.75,0,1,0,0,0,1,0,0,0,0,1
R3_3LqZQSfWDm_P364nhvw,Adrienne,48,2011-03-06 12:21:29,44,7,7,,1,4.06,0,0,0,0,0,0,3,0,0,0,0
X7zm8FuL1iDfIbfFK9WFBg,Megan,176,2015-02-27 17:49:39,229,50,71,"2016,2017,2018,2019,20,20,2021",5,3.37,0,1,0,2,0,7,5,7,7,0,2
Gz1tvWe8ZVIgOoJQc_tZ6A,Jim,42,2011-10-05 16:05:47,68,16,10,,0,3.12,0,0,0,0,0,5,0,0,0,0,0
OnQM7wUao_vsIThF3NKjmA,Dan,10,2013-02-23 20:15:20,29,2,3,,0,3.8,0,0,0,0,0,0,0,0,0,0,0
T8wqkLyaktHi9a6AtHnTCA,Vincent,54,2012-06-30 13:13:54,53,10,6,,2,3.44,0,0,0,0,0,0,0,0,0,0,0
eV-0BTIQ85IiTIthfWGIwQ,Candy,23,2012-05-01 03:27:34,84,27,10,,2,3.0,0,1,0,0,0,1,1,0,0,0,0
-G7Zkl1wIWBBmD0KRy_sCw,Gerald,3131,2012-12-16 23:26:39,61899,31999,48327,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",703,3.68,599,108,49,2,0,820,1478,1900,1900,1217,1529
itJ4Rc3JyOdUP8D-m5iGUQ,Frank,31,2010-04-15 20:49:14,56,25,9,,2,3.24,0,1,0,0,0,1,0,0,0,0,0
wUTjHpPAs6EWFZtMfEQUiw,Steve,372,2013-09-09 15:53:04,379,47,78,,4,4.08,0,0,0,0,0,7,2,0,0,1,0
UIRz38ueFKy0rk9LTRWkVg,Mike,9,2011-07-02 00:24:26,21,0,0,,0,2.89,0,0,0,0,0,0,1,0,0,0,0
OAmsJCIvJoDR4Nbdd1THoQ,Dan,90,2014-05-25 18:28:50,122,23,36,"2016,2017,2018",8,3.69,0,0,0,0,0,2,4,1,1,0,2
T52GRodXn8EEpbzajBVjjA,Bryan,103,2012-09-24 19:48:23,68,6,18,"2015,2016",1,3.58,0,0,0,0,0,1,2,2,2,3,0
NPGCBOETU0QefNblACdYpw,Michael,56,2013-12-23 00:57:34,17,2,1,,1,2.89,0,0,0,0,0,0,0,0,0,0,0
QLPylO8wa5C4XeY4LhGUuw,Kristen,127,2011-07-31 20:26:48,108,12,23,,1,4.32,0,0,0,0,0,2,2,1,1,1,0
xsMnFc7Wp469ggO_jfUE-g,Leigh,142,2012-12-04 17:39:19,970,295,66,"2015,2016",4,3.03,0,2,0,0,0,11,12,0,0,1,0
ta-wYPW54SMrNtmD3LTndw,Janet,633,2014-05-18 13:21:06,3135,595,2557,"2016,2017,2018,2019,20,20,2021",77,4.36,34,5,5,1,0,61,122,163,163,54,135
Ug0_la9Z2hqNGE468x8cmA,Jennifer,3,2014-02-02 02:00:05,1,0,0,,0,3.67,0,0,0,0,0,0,0,0,0,0,0
c9kbgFM9uxrQn5p_AdGfgg,Chrissy,162,2014-04-18 02:19:13,330,64,127,"2016,2017,2018",12,4.06,0,1,0,0,0,2,2,2,2,3,3
q3lPWLreF9PLh8lLlWgwDg,Tori,120,2013-01-18 21:25:31,220,32,36,,7,3.53,0,0,0,0,0,3,11,10,10,0,1
nQpgkgFfZSPZNtvA1jjRZg,Mike,392,2015-12-05 02:07:45,263,98,67,"2017,2018,2019,20,20,2021",19,4.14,3,0,0,0,0,8,6,6,6,1,3
1L84JcuSzsgsF3WsRK5Rug,Toy,157,2010-01-15 03:38:51,180,87,79,,11,4.19,1,0,0,0,0,4,1,1,1,0,3
pZyBSEydPJ4WTnSzapKRsg,Suni,147,2012-04-06 23:55:11,340,233,32,,4,2.39,1,2,0,0,0,15,10,4,4,0,0
d-MA6q8ANZeeWJlF0escKA,Sondra,5,2011-09-27 22:12:26,7,5,4,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
ggVepjOaLKyUA2m4G4rlLg,Ashley,44,2011-02-12 21:45:34,87,5,29,,1,4.28,0,0,0,0,0,0,0,1,1,0,0
EuU4rgWWkIDc-hKd7-XaKw,Laura,78,2012-04-01 20:21:23,55,14,5,,2,3.4,0,0,0,0,0,0,1,0,0,0,0
6jna5W1aqs4amKwBoCH2YQ,John,244,2016-08-02 18:39:19,216,39,59,"2016,2017,2018,2019,20,20,2021",5,3.79,1,1,0,0,0,8,6,2,2,1,3
DAasfK0lopWPkHROsgL3hw,Jon,158,2013-02-22 18:47:17,133,33,43,"2019,20,20,2021",7,3.05,0,2,4,0,0,11,7,2,2,5,4
fXBz0a6pGNuVjA4zYBJ7Gg,Amy,54,2014-05-28 18:08:46,159,31,37,,3,3.39,0,1,0,0,0,3,4,2,2,0,0
onT-YWW_Ytq3HXgeoKuHIw,Tom,39,2015-05-29 03:24:03,26,6,8,,1,3.88,1,0,0,0,0,0,0,0,0,1,0
_v0hpYfvTBfzXZW8W_fCvA,P F,51,2014-03-16 22:08:51,41,6,9,,0,4.09,0,1,0,0,0,2,0,0,0,0,0
fI5t-LRLDA5MyLLaMsA4qQ,Kaitlyn,51,2015-04-12 17:31:25,60,11,12,,1,3.59,1,0,0,0,0,0,1,0,0,0,0
fsfY2aYkhOEqzhg7Ic7O9w,Ariel,12,2014-02-17 17:49:48,9,0,1,,0,4.0,0,0,0,0,0,0,1,0,0,0,0
wgiVsn5ZtsxULQb2K2gioA,Courtney,502,2014-03-21 20:05:06,408,104,128,"2017,2018,2019,20,20,2021",17,3.69,1,2,0,0,0,10,6,5,5,1,0
QIlOPJBsn5JDyMW1hrH6GA,Harold,111,2014-07-13 22:10:02,100,26,10,,0,3.19,0,0,0,0,0,4,0,0,0,0,0
vUie5j2dKqROjhhWvRIu4Q,Heather,41,2015-01-24 14:03:46,70,20,39,,6,4.64,0,0,0,0,0,0,2,2,2,0,0
Q_uYA19H6k8U2fFavVdisg,Jenna,71,2017-12-12 21:28:09,17,1,4,,2,4.13,1,0,0,0,0,0,0,0,0,0,0
yFS2meTI_5XwEe3W369bQg,Amanda,55,2010-09-07 19:01:09,57,6,7,,2,3.29,0,0,0,0,0,4,2,1,1,0,0
U6W2-guxrj5bQFWJtGeEYg,Ally,15,2015-01-01 23:56:01,17,2,1,,1,3.73,0,0,0,0,0,0,0,0,0,0,0
LVwhg149FN8tDAVWTFe-Eg,Richard,560,2010-08-01 11:59:10,631,78,440,"2016,2017,2018,2019,20,20,2021",17,4.42,6,0,0,0,0,7,10,1,1,10,3
_rLQ_O6F3x22ma0kJQyajg,Laura,31,2011-12-19 17:28:50,21,5,7,,0,4.39,1,0,0,0,0,2,0,2,2,0,0
w6rOMf3y5jErUo_ZaUQeDg,Bryan,20,2009-06-06 22:20:11,14,1,3,,0,4.1,0,0,0,0,0,0,0,1,1,0,0
nsoCXS85JoPBPax2iLtNYw,David,66,2012-06-17 01:16:58,52,5,11,,1,3.65,0,0,0,0,0,1,0,0,0,1,0
Rwh_qYayPQQBswjhgEgOrQ,Nicholas,1,2016-03-02 15:27:27,2,0,0,,0,2.0,0,0,0,0,0,0,0,0,0,0,0
vPQeX1KnHU16zSz3ZL9SNw,Matthew,52,2015-11-25 17:43:51,3,0,2,,0,4.18,0,0,0,0,0,0,0,1,1,0,0
UUA1K9LANIE-B_rMSx8weg,Jim,63,2014-04-02 02:22:54,103,37,13,,0,3.07,0,0,0,0,0,1,0,0,0,0,0
c96ZRJZ9c0MAU3M5S1PC3Q,Shawn,23,2015-04-16 23:46:37,35,2,0,,0,3.14,0,0,0,0,0,0,0,0,0,0,0
DRVXeUXPTFdUdoqf0hkrlw,Tara,2,2013-02-02 00:26:24,1,0,0,,0,4.33,0,0,0,0,0,0,0,0,0,0,0
ielfKaTi0PpmtxRQT77WGw,Linda M,50,2014-07-13 22:42:16,43,9,9,,1,3.81,0,0,0,0,0,0,0,0,0,0,0
abDOyvwwWaPxybBAqzVIiQ,Kristin,66,2011-05-20 01:22:27,146,23,18,,0,3.15,0,0,0,0,0,1,2,0,0,0,0
lmQz2SutpT697wbZHHXaAg,Matty,28,2012-10-28 23:43:04,22,1,7,,0,4.46,1,0,0,0,0,1,2,2,2,0,0
NNGX3hIcmm-1z1vZ8QfvEA,Stephanie,22,2015-07-03 00:30:37,18,3,8,,2,4.26,0,0,0,0,0,0,0,0,0,0,0
tFRPXiSJPke_pag8JKOynA,W.,18,2012-10-16 18:41:34,24,2,4,,0,4.17,0,0,0,0,0,0,0,0,0,0,0
7DqW5bDhyVzj_5TyYDWC8g,Linda,37,2014-03-16 11:16:59,15,1,1,,0,4.22,0,0,0,0,0,0,0,1,1,0,0
s63zhKwazzl1uKNYqL5WCg,Joe,38,2009-06-22 00:17:17,31,11,4,,1,3.89,0,0,0,0,0,1,1,1,1,2,0
fpLDYV0GdGEgu-CNeGUIIw,Jack,64,2012-02-26 13:25:58,73,7,10,,2,3.71,0,0,0,0,0,5,4,0,0,0,1
-RV-gM2t2sp23BfZGVK6gA,Amy,17,2014-09-09 23:11:53,18,3,4,,2,4.94,0,0,0,0,0,0,0,0,0,0,0
ZleHCVNN22e7osm4IbGqnQ,Erick,117,2013-09-13 18:29:31,88,37,13,,2,3.17,0,0,0,0,0,3,1,1,1,0,0
VyU5wZeQeijq1HRbu5UEXw,John,213,2010-08-22 19:37:26,248,40,175,"2019,20,20,2021",13,4.07,1,0,0,0,0,4,14,4,4,1,3
gqHP_uYGKRwfO69iDmE1mw,Kurt,184,2011-07-18 22:54:02,218,57,63,,1,3.96,0,0,0,0,0,0,3,0,0,2,2
PtHkoh-goFZTKsclfjoi6g,Matthew,53,2011-10-14 23:04:15,36,5,10,,1,4.11,1,0,0,0,0,1,0,0,0,0,0
CU4NKfGJBQO0hKNtAW1eGg,Patricia,484,2013-01-03 16:52:14,322,39,51,,6,3.54,1,0,0,0,0,0,2,0,0,3,0
