from,to,weight,type
paCWvJDzJdFDfPMLAUbZlw,BNKwpze_HDmShffe4WqN4A,1,reviewed-same-restaurant
BNKwpze_HDmShffe4WqN4A,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,EuU4rgWWkIDc-hKd7-XaKw,1,reviewed-same-restaurant
EuU4rgWWkIDc-hKd7-XaKw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,PzHHr5_J8DQOzo4SN_40yA,1,reviewed-same-restaurant
PzHHr5_J8DQOzo4SN_40yA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,ff2iJzNaUKZdaXdjEZBVRQ,1,reviewed-same-restaurant
ff2iJzNaUKZdaXdjEZBVRQ,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,9lrnYSMdL7Wf-9I-o6aUaA,1,reviewed-same-restaurant
9lrnYSMdL7Wf-9I-o6aUaA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,OepF2bxE_ERY515dWvmtDQ,1,reviewed-same-restaurant
OepF2bxE_ERY515dWvmtDQ,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,6WqSakMBfLDGLe5B3iL4BA,1,reviewed-same-restaurant
6WqSakMBfLDGLe5B3iL4BA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,A9md-211q6BWlSn5EkTwJw,1,reviewed-same-restaurant
A9md-211q6BWlSn5EkTwJw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,JvljCKbnjcDFrWkrqQUdEQ,1,reviewed-same-restaurant
JvljCKbnjcDFrWkrqQUdEQ,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,Lmam0jm8EReVm2EAArkjfQ,1,reviewed-same-restaurant
Lmam0jm8EReVm2EAArkjfQ,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,QLPylO8wa5C4XeY4LhGUuw,1,reviewed-same-restaurant
QLPylO8wa5C4XeY4LhGUuw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,xqWgIpVyEkj9KSKuoxqc2Q,1,reviewed-same-restaurant
xqWgIpVyEkj9KSKuoxqc2Q,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,N0inGRa7JtVeOdoGuv1iOg,1,reviewed-same-restaurant
N0inGRa7JtVeOdoGuv1iOg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,-RV-gM2t2sp23BfZGVK6gA,1,reviewed-same-restaurant
-RV-gM2t2sp23BfZGVK6gA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,JtvWtlZ5GzyTyRnON_ncEw,1,reviewed-same-restaurant
JtvWtlZ5GzyTyRnON_ncEw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,d-MA6q8ANZeeWJlF0escKA,1,reviewed-same-restaurant
d-MA6q8ANZeeWJlF0escKA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,frK2-80WEBPA0g0YAP_jcA,1,reviewed-same-restaurant
frK2-80WEBPA0g0YAP_jcA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,y-rTHv87cy-M5fd0UyNlFQ,1,reviewed-same-restaurant
y-rTHv87cy-M5fd0UyNlFQ,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,_rLQ_O6F3x22ma0kJQyajg,1,reviewed-same-restaurant
_rLQ_O6F3x22ma0kJQyajg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,lmQz2SutpT697wbZHHXaAg,1,reviewed-same-restaurant
lmQz2SutpT697wbZHHXaAg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,UrY-jqh5gSCt-jPfuQodyg,1,reviewed-same-restaurant
UrY-jqh5gSCt-jPfuQodyg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,f0iFs8GGMdxeHvmzTmPMUA,1,reviewed-same-restaurant
f0iFs8GGMdxeHvmzTmPMUA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,KTMNUAVdbLo32dULFOzKCg,1,reviewed-same-restaurant
KTMNUAVdbLo32dULFOzKCg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,itJ4Rc3JyOdUP8D-m5iGUQ,1,reviewed-same-restaurant
itJ4Rc3JyOdUP8D-m5iGUQ,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,70OyJY2myYaRr7dhTaq8kA,1,reviewed-same-restaurant
70OyJY2myYaRr7dhTaq8kA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,ggVepjOaLKyUA2m4G4rlLg,1,reviewed-same-restaurant
ggVepjOaLKyUA2m4G4rlLg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,DRVXeUXPTFdUdoqf0hkrlw,1,reviewed-same-restaurant
DRVXeUXPTFdUdoqf0hkrlw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,w7Jm2lsb9abkQkDlnkOc-A,1,reviewed-same-restaurant
w7Jm2lsb9abkQkDlnkOc-A,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,36CXeoiar-OlppQmY5iUGg,1,reviewed-same-restaurant
36CXeoiar-OlppQmY5iUGg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,vPQeX1KnHU16zSz3ZL9SNw,1,reviewed-same-restaurant
vPQeX1KnHU16zSz3ZL9SNw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,T8wqkLyaktHi9a6AtHnTCA,1,reviewed-same-restaurant
T8wqkLyaktHi9a6AtHnTCA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,92vgUkcLlTjbb8vNC1gMMw,1,reviewed-same-restaurant
92vgUkcLlTjbb8vNC1gMMw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,LiiUu5TS7Bjjoq9xd8tKEQ,1,reviewed-same-restaurant
LiiUu5TS7Bjjoq9xd8tKEQ,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,abDOyvwwWaPxybBAqzVIiQ,1,reviewed-same-restaurant
abDOyvwwWaPxybBAqzVIiQ,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,wA1saAP4RIbKrJ9YJbtQyg,1,reviewed-same-restaurant
wA1saAP4RIbKrJ9YJbtQyg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,enKmoFBM88M_yvT9A7CiiA,1,reviewed-same-restaurant
enKmoFBM88M_yvT9A7CiiA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,GFvRSAE6-3fFbSzDoJlkPA,1,reviewed-same-restaurant
GFvRSAE6-3fFbSzDoJlkPA,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,0Kbnp4GzpGW2rLmfWk_N_A,1,reviewed-same-restaurant
0Kbnp4GzpGW2rLmfWk_N_A,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,pZyBSEydPJ4WTnSzapKRsg,1,reviewed-same-restaurant
pZyBSEydPJ4WTnSzapKRsg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,9U7cPas2fkCivzTC5ph8Fw,1,reviewed-same-restaurant
9U7cPas2fkCivzTC5ph8Fw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,jyJ632IBakzSiAciyfutBw,1,reviewed-same-restaurant
jyJ632IBakzSiAciyfutBw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,puCCWuyvq_0mArX1iYBGrw,1,reviewed-same-restaurant
puCCWuyvq_0mArX1iYBGrw,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,Q_uYA19H6k8U2fFavVdisg,1,reviewed-same-restaurant
Q_uYA19H6k8U2fFavVdisg,paCWvJDzJdFDfPMLAUbZlw,1,reviewed-same-restaurant
paCWvJDzJdFDfPMLAUbZlw,QIlOPJBsn5JDyMW1hrH6GA,1,reviewed-same-restaurant
