from,to,weight,type
0,TrL_9PA5LSDXgCYU8I7NCg,1,friendship
0,vnl8aTXiLC08mVtG5Tu_xw,1,friendship
0,RvoPAtu1iSSwUfhD3tg1Nw,1,friendship
0,TSj_Dc6xcrzJ2Hdyx68Lyw,1,friendship
0,9YRFLVFVbHGAJ1weFx5zqw,1,friendship
0,3tOmCgU8eBRfBDohHcctUw,1,friendship
0,mKv2YmbCKxn0_GN6tRCAww,1,friendship
0,WAOQx-h0an51DAykYdRTbw,1,friendship
0,kC2BtCc3TAghPzZSiep-Pw,1,friendship
0,UojEGTMuBYoRBw4NO5bIgQ,1,friendship
0,djxnI8Ux8ZYQJhiOQkrRhA,1,friendship
0,U631LMGO5E3GxVJt535dHA,1,friendship
0,xbUZL2zG7OCMPqKmPTkuOA,1,friendship
0,mfoOPDeMpcD94KzhRADj6g,1,friendship
0,60RKNAZwY5EUooJf624aKw,1,friendship
0,rNiY22_q4K9GMoJupVIiPA,1,friendship
0,_IfVpjNBBtTWVLd-0ZaB-w,1,friendship
0,on7SZ1bo46GKbaVqLIAWhQ,1,friendship
0,SE85OT0FKxeL28izk-5POg,1,friendship
0,bDgy2ARdyedStgYZedgYmw,1,friendship
0,fqUzG5V00xnz86VeifwbjQ,1,friendship
0,uDFNUZcsK4HZbV4tOjjU1w,1,friendship
0,CcO3aMNEvs7Rrx7LrRBIRQ,1,friendship
0,N87niUpAiDF_N66S5fI0gQ,1,friendship
0,_ktFjwQUWv90hlINS9mCwA,1,friendship
0,5Tbj8y-ZVOVbK_VWgvj4pw,1,friendship
0,b-IYfRI0xpQ3f3x7k0MjKw,1,friendship
0,ZJHXF4zyKEb2AlFrcr0n8A,1,friendship
0,P0koZmQSQRqenmwZ5zJs9g,1,friendship
0,qTMK2qr6ngof4fe29qyooA,1,friendship
0,Zd7A9Ba-wgrj7i-ffgvegA,1,friendship
0,FYUVjl-pFkeiruTlUCtihQ,1,friendship
0,ocVGNHZQKOGmaTEBZ1ITpw,1,friendship
0,kJg2wUAyRHl1jme2Ttn4SQ,1,friendship
0,lWW_f3wlkab4dN0PcQxZew,1,friendship
0,hZ-ZtZ3bqZg6GhWepqj20g,1,friendship
0,iOfCVwboEvzIT-5miMp2IA,1,friendship
0,E_OOZjrlgDTTCHT5p2tG_w,1,friendship
0,s6QghJT6IHNxV5MX8a66tw,1,friendship
0,MypOSyVruGtBmDAT7FicRQ,1,friendship
0,QYPkNcduAd05rqA2yutJVw,1,friendship
0,kx1AyDQfkPHSkPstBQlDzg,1,friendship
0,HQG3no8C5U31z-k1MaYCqQ,1,friendship
0,kfiBpwAZFxAo_RcrBmQjbA,1,friendship
0,A-pcQqvtlsxd-JgBOIdwHw,1,friendship
0,6lP2al1DOutIQPCB76h41g,1,friendship
0,cogPv5baWhsR-_Dcw3-Taw,1,friendship
0,-XZOz3ViFET3IZFRGFoOpQ,1,friendship
0,CQUDh80m48xnzUkx-X5NAw,1,friendship
0,GdGGZo98_xRwbrZiYRP1ew,1,friendship
0,zM8KwtT47BHfdRPCJWtv7Q,1,friendship
0,4P2XfBzXyzgYzMS-klAxmw,1,friendship
0,r3ov7FgibBx41_W74I1KiA,1,friendship
0,zlsZjH76jWTXiG7fyyUzEw,1,friendship
0,9WuP-4jfndovEFJ4bpt5vA,1,friendship
0,WuGrrM__qrTHal6fkr9rZg,1,friendship
0,CA3i7o1wjBLAwA8sgPAOmw,1,friendship
0,2--3--v8yHU3a3FljCcBRg,1,friendship
0,wsc6EkWfDnru6vmS3e5OnQ,1,friendship
0,gRGalHVu6BcaUDIAGVW_xQ,1,friendship
0,WZ4vEAuJdBgHrnIZlBQLig,1,friendship
0,qWYEuBZP7av55tewg3PXKg,1,friendship
0,GJUP_9KUzyLs47QUWDxFhA,1,friendship
0,n9Z9uucQJX9wTLYm0SRMng,1,friendship
0,BnBQ0UU9uSiI_0cbCZ4lsw,1,friendship
