from,to,weight,type
MrScyzfSsozlJ0cBt4mqhQ,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,eNYdCHcCJQbCtcQVDkFt9Q,1,reviewed-same-restaurant
eNYdCHcCJQbCtcQVDkFt9Q,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,XGo2NYXLM01XXRl8Z7aFDg,1,reviewed-same-restaurant
XGo2NYXLM01XXRl8Z7aFDg,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,tfO6iJOET3RdOJhm40jUGQ,1,reviewed-same-restaurant
tfO6iJOET3RdOJhm40jUGQ,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,YGzfha49Ke-IKXAuCcGLOg,1,reviewed-same-restaurant
YGzfha49Ke-IKXAuCcGLOg,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,mTYYS_2oUX8mHERN4JZ-0A,1,reviewed-same-restaurant
mTYYS_2oUX8mHERN4JZ-0A,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,m0KA2DIg3VKsvR2aQHn_jA,1,reviewed-same-restaurant
m0KA2DIg3VKsvR2aQHn_jA,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,ERFfbEWAeqEF91ipoaUu6w,1,reviewed-same-restaurant
ERFfbEWAeqEF91ipoaUu6w,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,xuiKXdLqy1xrmlvCEL7EHg,1,reviewed-same-restaurant
xuiKXdLqy1xrmlvCEL7EHg,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,YFxFTn8xUXkl-zhqlESMBw,1,reviewed-same-restaurant
YFxFTn8xUXkl-zhqlESMBw,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,6zdHISU9sX7DV9uC6f2vvg,1,reviewed-same-restaurant
6zdHISU9sX7DV9uC6f2vvg,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,VD1zLrgNBcztR10sTpNm3g,1,reviewed-same-restaurant
VD1zLrgNBcztR10sTpNm3g,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,8NAN_3kWzNtvXFR01voVbw,1,reviewed-same-restaurant
8NAN_3kWzNtvXFR01voVbw,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,t1laGFTiJtDaGFnA9clYPA,1,reviewed-same-restaurant
t1laGFTiJtDaGFnA9clYPA,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,qBaEKpXuVSWjbeqnU8Brbw,1,reviewed-same-restaurant
qBaEKpXuVSWjbeqnU8Brbw,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,PqfxWMsJav8tE5YOiz1xwQ,1,reviewed-same-restaurant
PqfxWMsJav8tE5YOiz1xwQ,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
MrScyzfSsozlJ0cBt4mqhQ,9W5o1uCqYH8uXs0aeC0gng,1,reviewed-same-restaurant
9W5o1uCqYH8uXs0aeC0gng,MrScyzfSsozlJ0cBt4mqhQ,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,eNYdCHcCJQbCtcQVDkFt9Q,1,reviewed-same-restaurant
eNYdCHcCJQbCtcQVDkFt9Q,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,XGo2NYXLM01XXRl8Z7aFDg,1,reviewed-same-restaurant
XGo2NYXLM01XXRl8Z7aFDg,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,tfO6iJOET3RdOJhm40jUGQ,1,reviewed-same-restaurant
tfO6iJOET3RdOJhm40jUGQ,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,YGzfha49Ke-IKXAuCcGLOg,1,reviewed-same-restaurant
YGzfha49Ke-IKXAuCcGLOg,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,mTYYS_2oUX8mHERN4JZ-0A,1,reviewed-same-restaurant
mTYYS_2oUX8mHERN4JZ-0A,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,m0KA2DIg3VKsvR2aQHn_jA,1,reviewed-same-restaurant
m0KA2DIg3VKsvR2aQHn_jA,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,ERFfbEWAeqEF91ipoaUu6w,1,reviewed-same-restaurant
ERFfbEWAeqEF91ipoaUu6w,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,xuiKXdLqy1xrmlvCEL7EHg,1,reviewed-same-restaurant
xuiKXdLqy1xrmlvCEL7EHg,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,YFxFTn8xUXkl-zhqlESMBw,1,reviewed-same-restaurant
YFxFTn8xUXkl-zhqlESMBw,SAyc6gRZ9zxsyTBWrE_Nkw,1,reviewed-same-restaurant
SAyc6gRZ9zxsyTBWrE_Nkw,6zdHISU9sX7DV9uC6f2vvg,1,reviewed-same-restaurant
