from,to,weight,type
-7fV-5KlUUMatLOiIOBT-g,19db0FoXZ3Z42YlxJNc3yA,1,tipped_same_business
-7fV-5KlUUMatLOiIOBT-g,EqxTRmQVFYOKDZAzg_jPUA,1,tipped_same_business
-7fV-5KlUUMatLOiIOBT-g,FDF8cb38lGF61RYXuKxF-A,1,tipped_same_business
-7fV-5KlUUMatLOiIOBT-g,_HVLI1r7CFgq7UgKJJduLw,1,tipped_same_business
-7fV-5KlUUMatLOiIOBT-g,dhLizr4a2oydrv15y56r0A,1,tipped_same_business
-FpdhQ3h2YQgKMtF7NX85w,BkLNCQShxiW7187D8XIQZw,1,tipped_same_business
-FpdhQ3h2YQgKMtF7NX85w,PaQo3Ji59W2uZ27VncNUsA,1,tipped_same_business
-FpdhQ3h2YQgKMtF7NX85w,uublMm3PnZDtrCfJcObShQ,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,5lTbzB1J1njAsyzdIWd_Bw,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,D3lzEkfyJmcHD5jeWOBEIg,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,DsSTEHDUdXQsk7tknLtQSw,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,HycJkwRLEgYFZG-hDh_zdA,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,c16XkqyZmLtSlZ7K-X12OQ,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,ceTZe8JPBTBXr2dDTG_20w,2,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,e3w7nYEWShsYUjbJSE577g,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,edUKEltIBL1S9kGRO-vtfw,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,hL9exODglFhBM2vTBdfSog,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,mo9UZDt6rODRgpgl39NBJg,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,orAGPF0osysIoqRFKtTNDw,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,t770J6WDIb1KmmUSRhCfKA,1,tipped_same_business
-G7Zkl1wIWBBmD0KRy_sCw,tYe3wHZB77lCG4ThTJ3gRQ,1,tipped_same_business
