from,to,weight,type
RgDVC3ZUBqpEe6Y1kPhIpw,jsp8h4yF3VI7_sk3EyvEIQ,37664478,compliments
RgDVC3ZUBqpEe6Y1kPhIpw,ET8n-r7glWYqZhuR6GcdNw,28951369,compliments
RgDVC3ZUBqpEe6Y1kPhIpw,BmVwbsL8l0imz4slonyMaA,19920208,compliments
RgDVC3ZUBqpEe6Y1kPhIpw,V0c-AS2FFCeSaV-3JfG5vA,14918555,compliments
RgDVC3ZUBqpEe6Y1kPhIpw,-G7Zkl1wIWBBmD0KRy_sCw,12847034,compliments
zkamNMEjihh3zN7lC7_WVw,jsp8h4yF3VI7_sk3EyvEIQ,43622,compliments
zkamNMEjihh3zN7lC7_WVw,ET8n-r7glWYqZhuR6GcdNw,33986,compliments
zkamNMEjihh3zN7lC7_WVw,BmVwbsL8l0imz4slonyMaA,22946,compliments
zkamNMEjihh3zN7lC7_WVw,RgDVC3ZUBqpEe6Y1kPhIpw,18200,compliments
zkamNMEjihh3zN7lC7_WVw,V0c-AS2FFCeSaV-3JfG5vA,17480,compliments
gVFxZMcuG_Tal2_TnpmUPg,jsp8h4yF3VI7_sk3EyvEIQ,353674,compliments
gVFxZMcuG_Tal2_TnpmUPg,ET8n-r7glWYqZhuR6GcdNw,201840,compliments
gVFxZMcuG_Tal2_TnpmUPg,RgDVC3ZUBqpEe6Y1kPhIpw,130912,compliments
gVFxZMcuG_Tal2_TnpmUPg,-G7Zkl1wIWBBmD0KRy_sCw,121795,compliments
gVFxZMcuG_Tal2_TnpmUPg,V0c-AS2FFCeSaV-3JfG5vA,119480,compliments
g0_x4kVvJAYuk96oCcbOmw,jsp8h4yF3VI7_sk3EyvEIQ,1050339,compliments
g0_x4kVvJAYuk96oCcbOmw,ET8n-r7glWYqZhuR6GcdNw,638663,compliments
g0_x4kVvJAYuk96oCcbOmw,RgDVC3ZUBqpEe6Y1kPhIpw,393789,compliments
g0_x4kVvJAYuk96oCcbOmw,-G7Zkl1wIWBBmD0KRy_sCw,376076,compliments
g0_x4kVvJAYuk96oCcbOmw,BmVwbsL8l0imz4slonyMaA,369710,compliments
-NbeVN5tnwdyYAvdNkKMjw,jsp8h4yF3VI7_sk3EyvEIQ,11317361,compliments
-NbeVN5tnwdyYAvdNkKMjw,ET8n-r7glWYqZhuR6GcdNw,7098463,compliments
-NbeVN5tnwdyYAvdNkKMjw,BmVwbsL8l0imz4slonyMaA,4390305,compliments
-NbeVN5tnwdyYAvdNkKMjw,RgDVC3ZUBqpEe6Y1kPhIpw,4160028,compliments
-NbeVN5tnwdyYAvdNkKMjw,V0c-AS2FFCeSaV-3JfG5vA,4043159,compliments
cXtE-ZTrNx-hE7usp_f_xg,jsp8h4yF3VI7_sk3EyvEIQ,718242,compliments
cXtE-ZTrNx-hE7usp_f_xg,ET8n-r7glWYqZhuR6GcdNw,420501,compliments
cXtE-ZTrNx-hE7usp_f_xg,RgDVC3ZUBqpEe6Y1kPhIpw,265051,compliments
cXtE-ZTrNx-hE7usp_f_xg,V0c-AS2FFCeSaV-3JfG5vA,243608,compliments
cXtE-ZTrNx-hE7usp_f_xg,-G7Zkl1wIWBBmD0KRy_sCw,239907,compliments
X6ikCQsAC4QGN-RjmvW2vA,jsp8h4yF3VI7_sk3EyvEIQ,26494,compliments
X6ikCQsAC4QGN-RjmvW2vA,ET8n-r7glWYqZhuR6GcdNw,11784,compliments
X6ikCQsAC4QGN-RjmvW2vA,-G7Zkl1wIWBBmD0KRy_sCw,9853,compliments
X6ikCQsAC4QGN-RjmvW2vA,RgDVC3ZUBqpEe6Y1kPhIpw,8577,compliments
X6ikCQsAC4QGN-RjmvW2vA,V0c-AS2FFCeSaV-3JfG5vA,8305,compliments
SQ2J0vy4sUIrVfB6_qcbDg,jsp8h4yF3VI7_sk3EyvEIQ,9062392,compliments
SQ2J0vy4sUIrVfB6_qcbDg,ET8n-r7glWYqZhuR6GcdNw,5967807,compliments
SQ2J0vy4sUIrVfB6_qcbDg,BmVwbsL8l0imz4slonyMaA,3641390,compliments
SQ2J0vy4sUIrVfB6_qcbDg,RgDVC3ZUBqpEe6Y1kPhIpw,3484439,compliments
SQ2J0vy4sUIrVfB6_qcbDg,V0c-AS2FFCeSaV-3JfG5vA,3220255,compliments
kZnSGYEx0mLVGroGtZiXIA,jsp8h4yF3VI7_sk3EyvEIQ,1202006,compliments
