from,to,weight,type
RgDVC3ZUBqpEe6Y1kPhIpw,ET8n-r7glWYqZhuR6GcdNw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,A_BF2dDDUTKGVXrqxO9mag,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,r3ov7FgibBx41_W74I1KiA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,ApJ9YgYU-AhS4a-F5oTGHw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,cXtE-ZTrNx-hE7usp_f_xg,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,B-s-8VUnuBjGTP3d01jsyw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,Wk_xohYcysEWnkhOp3sBSA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,TVN3qoXU0-sateboutdCZg,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,zUk_Ww2q1At1QSyRbUjIGQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,zO2OzO9f3sVTzCgHmPFpAw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,g0_x4kVvJAYuk96oCcbOmw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,NEnjlrr2ozU4FMmXup88wA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,R-s0RjtnCRaeVW_dZ5DYbw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,KwC7I2KR-HlEb3KSH4a0bw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,-XZOz3ViFET3IZFRGFoOpQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,n5NatlzIpc17OOvAFqujHA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,9C_h-H1Z7Xz7dvbgsBrnSg,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,j_orXueAYJBft-VUNbs1IA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,cMPJlsuY5IQgJ8N9qICdDw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,lXIJsJxVnKAy27nJB7BoKw,1,friendship
zkamNMEjihh3zN7lC7_WVw,ET8n-r7glWYqZhuR6GcdNw,1,friendship
g0_x4kVvJAYuk96oCcbOmw,46Wi08T5D3phf3SMgi7U3w,1,friendship
g0_x4kVvJAYuk96oCcbOmw,lXIJsJxVnKAy27nJB7BoKw,1,friendship
g0_x4kVvJAYuk96oCcbOmw,RgDVC3ZUBqpEe6Y1kPhIpw,1,friendship
g0_x4kVvJAYuk96oCcbOmw,f3AZHdFgVpB5oglDz4kvyQ,1,friendship
g0_x4kVvJAYuk96oCcbOmw,zUk_Ww2q1At1QSyRbUjIGQ,1,friendship
g0_x4kVvJAYuk96oCcbOmw,ET8n-r7glWYqZhuR6GcdNw,1,friendship
g0_x4kVvJAYuk96oCcbOmw,178lUNiULUgxi8fdm1zXmA,1,friendship
g0_x4kVvJAYuk96oCcbOmw,OpVo6uoypyDGIuGiGrwLEw,1,friendship
g0_x4kVvJAYuk96oCcbOmw,NFeNXGbZWRCe6qMEppNdRw,1,friendship
g0_x4kVvJAYuk96oCcbOmw,TVN3qoXU0-sateboutdCZg,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,B-V1eJcIwouZuUrMFQkmnA,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,a16cviLVP-yJc75qvh-0Bg,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,CjJhEzdWQNEKa7grwPRQyg,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,uIKD7cJF4ZWkicin2ulWPg,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,YDH8-780BGUMGWb7O3Xwgg,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,j_orXueAYJBft-VUNbs1IA,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,RZrs-ZNuyMyPKp7j5eJ40w,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,r3ov7FgibBx41_W74I1KiA,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,zfD3xhVNkGJs-AOOSslqtQ,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,gekp2Z5I4vPGf2NeFnZX2A,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,Y8uEQnccKOpgdYOE3ls1ug,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,CBHpTYlMeG6kMo0a7LODkA,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,cXtE-ZTrNx-hE7usp_f_xg,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,GiEf8YOMB2KjFpm457M5fQ,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,scMLUgV1SzTe9TjBBuf3tg,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,tYe3wHZB77lCG4ThTJ3gRQ,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,GcdYgbaF75vj7RO6EZhPOQ,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,CDxlgCoUoNRV3VMkYZrUuQ,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,ET8n-r7glWYqZhuR6GcdNw,1,friendship
-NbeVN5tnwdyYAvdNkKMjw,q9uTZRlWg9v-WG2v76gGcg,1,friendship
cXtE-ZTrNx-hE7usp_f_xg,A_BF2dDDUTKGVXrqxO9mag,1,friendship
cXtE-ZTrNx-hE7usp_f_xg,ET8n-r7glWYqZhuR6GcdNw,1,friendship
cXtE-ZTrNx-hE7usp_f_xg,bi76Ih6tRv-ghYWFCJ0dag,1,friendship
cXtE-ZTrNx-hE7usp_f_xg,lXIJsJxVnKAy27nJB7BoKw,1,friendship
cXtE-ZTrNx-hE7usp_f_xg,RgDVC3ZUBqpEe6Y1kPhIpw,1,friendship
cXtE-ZTrNx-hE7usp_f_xg,r3ov7FgibBx41_W74I1KiA,1,friendship
cXtE-ZTrNx-hE7usp_f_xg,-NbeVN5tnwdyYAvdNkKMjw,1,friendship
X6ikCQsAC4QGN-RjmvW2vA,f3AZHdFgVpB5oglDz4kvyQ,1,friendship
X6ikCQsAC4QGN-RjmvW2vA,ulRdB25JWcztx_n6N67yog,1,friendship
X6ikCQsAC4QGN-RjmvW2vA,46Wi08T5D3phf3SMgi7U3w,1,friendship
X6ikCQsAC4QGN-RjmvW2vA,hOKHkUkXyAM8nb-HosAeSg,1,friendship
NEnjlrr2ozU4FMmXup88wA,RgDVC3ZUBqpEe6Y1kPhIpw,1,friendship
NEnjlrr2ozU4FMmXup88wA,ET8n-r7glWYqZhuR6GcdNw,1,friendship
TVN3qoXU0-sateboutdCZg,ET8n-r7glWYqZhuR6GcdNw,1,friendship
TVN3qoXU0-sateboutdCZg,RgDVC3ZUBqpEe6Y1kPhIpw,1,friendship
