from,to,weight,type
-0MIp6WKJ8QvGnYZQ5ETyg,BmVwbsL8l0imz4slonyMaA,2,reviewed-same-restaurant-and-friendship
-6MrOJCN-eIe37-LT-uPoQ,BmVwbsL8l0imz4slonyMaA,2,reviewed-same-restaurant-and-friendship
-6MrOJCN-eIe37-LT-uPoQ,PfkF7k5bk9ftSXrC8Q7GaQ,3,reviewed-same-restaurant-and-friendship
-6MrOJCN-eIe37-LT-uPoQ,ePxjx8tee06mn5h87X-Sxg,3,reviewed-same-restaurant-and-friendship
-6MrOJCN-eIe37-LT-uPoQ,i-v015Oa8uK4JiHe0GC8mQ,3,reviewed-same-restaurant-and-friendship
-E_iCbvk80Kw29g-Endglw,z80ROa-_mD3UQ35JdIZNaA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,0RX9w878R80Ok5iPrNBv3g,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,1vh3MGM67d8HG2ZrkQfOXQ,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,2z33HuYX4ozoLjcsw57XQQ,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,46Wi08T5D3phf3SMgi7U3w,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,6pbNMgTnSYrtPHDN07IXwA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,A1nIXS5XEWeZ2EUUcOsurA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,B-s-8VUnuBjGTP3d01jsyw,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,BTHXLOCKyo1z8ZrWq8-9_g,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,BmVwbsL8l0imz4slonyMaA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,BzcTU6B58qKZIbiikQBirQ,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,CjJhEzdWQNEKa7grwPRQyg,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,ET8n-r7glWYqZhuR6GcdNw,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,F3uJG_v0educVvOFsoPACQ,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,FQ-zmWPEG_pjSQx6pt3Efw,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,FXW16a1QddonpF-h3NtxPg,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,GcdYgbaF75vj7RO6EZhPOQ,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,Ia_irX_xqSQuAtrk3E1BiA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,J_xAyWa25xVvzyOGfAfYNg,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,NFeNXGbZWRCe6qMEppNdRw,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,OLGQ7alK4VKl3YdQk6UF5g,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,QczCdRxNPg08FGbrj9n0VA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,TVN3qoXU0-sateboutdCZg,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,UUFz47RLcE8PS4u58KAnHw,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,V0c-AS2FFCeSaV-3JfG5vA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,Wk_xohYcysEWnkhOp3sBSA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,WvutaEoxM-8ME0JFTTWBDg,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,Xca3XaX66luta0w6XLqbxg,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,XzpJ4uHkxARCFQiZ9bffyg,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,ZFR1aPaMDgWbzsBkVEHxQA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,ZX9aq6fKbGaF6hXSnkDiAA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,aaEr2-3Qaa4jo9rkjiqibA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,bbZFiGdRJlxs1ys5RYfZWA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,cUB2WhICFuSe7DwXAIoo0g,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,cYn5brcpOivLj9w_I1h7KA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,edUKEltIBL1S9kGRO-vtfw,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,gTeW8C9rnISPqI3IUKgujA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,gekp2Z5I4vPGf2NeFnZX2A,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,gv0coNUFY-fibRwP8IKqPA,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,jsp8h4yF3VI7_sk3EyvEIQ,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,lABhRt6E1lAvG68kqQZMow,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,lRRuTimITgwzoXLIM3g9qw,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,mcCiXdEYAAT6yqeFcF0zKg,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,n3aKJqRTJM8JjrFn_l6NwQ,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,rKGTBWaFgu8a60DFqeK3Fg,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,tYe3wHZB77lCG4ThTJ3gRQ,2,reviewed-same-restaurant-and-friendship
-G7Zkl1wIWBBmD0KRy_sCw,uYV4fdoQeJ99vgY6_SU-zg,2,reviewed-same-restaurant-and-friendship
