id,people_name,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
RgDVC3ZUBqpEe6Y1kPhIpw,Monica,1282,2009-02-23 14:08:31,12640,10005,11149,"2009,2010,2011,2012,2013,2014,2015,2016",804,4.17,1262,102,108,138,65,898,2584,1731,1731,551,177
zkamNMEjihh3zN7lC7_WVw,Matthew,15,2006-02-04 15:53:46,35,4,22,,1,4.07,2,1,0,0,0,1,3,2,2,0,0
gVFxZMcuG_Tal2_TnpmUPg,Stephanie,146,2008-05-05 00:16:33,347,100,124,"2011,2012,2013,2014,2015,2016",6,3.68,18,13,1,0,0,10,8,21,21,8,0
g0_x4kVvJAYuk96oCcbOmw,Michael,455,2009-04-15 12:46:06,1823,696,663,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",46,3.38,44,11,0,1,5,39,33,57,57,32,8
-NbeVN5tnwdyYAvdNkKMjw,Dominic,1101,2012-04-25 19:31:00,6704,1959,4179,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",193,3.75,318,33,18,2,2,312,457,637,637,137,63
cXtE-ZTrNx-hE7usp_f_xg,Marie,125,2010-05-16 17:46:19,424,192,319,"2010,2011",22,3.67,44,0,2,2,0,12,21,39,39,15,4
X6ikCQsAC4QGN-RjmvW2vA,J.,24,2007-10-06 15:11:37,59,16,26,,2,3.96,0,2,0,0,0,1,0,2,2,1,0
SQ2J0vy4sUIrVfB6_qcbDg,Windi,501,2009-02-27 21:52:47,2791,2055,1638,2009,107,3.46,484,58,54,90,35,232,398,446,446,97,73
kZnSGYEx0mLVGroGtZiXIA,Ms. Edna,772,2009-05-30 19:32:30,1394,584,904,"2010,2011",54,4.15,34,5,2,6,12,66,34,60,60,10,32
NEnjlrr2ozU4FMmXup88wA,Denise,119,2009-01-14 17:17:57,187,54,60,"2014,2015",14,3.94,4,3,0,2,0,5,18,4,4,3,0
TVN3qoXU0-sateboutdCZg,Angela,695,2010-04-19 06:17:05,1588,371,686,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",60,3.71,28,5,1,1,1,35,55,63,63,18,20
cMPJlsuY5IQgJ8N9qICdDw,Jonathan,56,2012-02-16 17:10:54,137,37,62,2012,12,4.1,26,3,2,0,0,13,56,26,26,11,6
LI_A-_R6SQotk6fX8C0nPQ,Susan,24,2011-10-05 01:47:59,26,13,2,,0,2.83,0,0,0,0,0,0,1,0,0,0,0
CBk3GqDIhAxm1Sm5uWZynA,AhBeng,17,2008-09-10 03:34:01,52,27,16,,7,2.84,0,0,1,0,0,0,0,0,0,1,0
vWWvICTldmZgz-JMui2u2w,Mikey,23,2010-10-17 12:40:17,47,11,8,,4,3.87,6,3,0,0,0,3,2,1,1,2,1
ApJ9YgYU-AhS4a-F5oTGHw,Nicole,526,2009-01-20 20:38:54,1471,591,796,"2009,2010,2011,2012,2013,2014",42,3.1,364,46,42,7,7,179,514,394,394,183,15
A_BF2dDDUTKGVXrqxO9mag,Brian,355,2008-10-14 14:29:50,741,170,449,"2009,2010,2011",30,3.82,63,8,3,3,1,51,54,92,92,10,8
B-s-8VUnuBjGTP3d01jsyw,Allie,2505,2008-02-20 23:52:48,7487,3504,5959,"2010,2011,2012,2014,2015,2016,2017,2018,2019,20,20,2021",154,3.74,160,23,14,11,4,275,487,319,319,249,70
WTNE5YK9RTgP5jzStlbWjQ,Sammy,64,2008-07-27 12:08:59,173,31,37,,7,4.18,1,1,0,0,0,2,7,2,2,0,1
wpfvF8ue3yr1m5xD4OrZNw,Henry,911,2011-11-15 13:46:40,2114,617,974,"2015,2016,2017,2018,2019,20,20,2021",83,3.88,13,5,3,1,1,12,25,21,21,20,15
DsSTEHDUdXQsk7tknLtQSw,J,122,2007-12-31 21:24:55,115,30,28,,3,3.28,1,3,0,0,0,5,2,3,3,2,0
bi76Ih6tRv-ghYWFCJ0dag,Trent,151,2010-08-16 11:39:49,72,19,34,"2019,20,20,2021",12,4.01,2,0,0,0,0,13,6,2,2,1,2
9C_h-H1Z7Xz7dvbgsBrnSg,Kurt,669,2010-04-21 17:32:42,1243,819,478,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",44,3.49,11,7,1,2,1,46,32,41,41,16,10
ZTvil7E2JbtORKm0bu6MKQ,Mimi,312,2010-09-26 23:31:35,483,93,175,"2015,2016,2017",25,4.17,13,2,1,6,0,13,20,20,20,10,15
ie9VaHvAaQgjMJP3Gn-AQQ,John,188,2011-01-13 01:44:46,523,320,282,"2011,2012,2013,2017",15,4.0,35,6,1,2,2,17,62,46,46,24,1
zebeVSHqWXuyf5fYATlojA,Katie,3,2012-11-22 00:10:35,2,0,0,,0,3.33,0,0,0,0,0,0,0,0,0,0,0
