from,to,weight,type
-6MrOJCN-eIe37-LT-uPoQ,1hgePsmvAkZDD9fDc3KbRg,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,4StF33ZASP-kBp62BK-KuA,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,5lTbzB1J1njAsyzdIWd_Bw,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,6Q8dQGr_DBKcmQ1aXVWvTQ,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,Adm05emqn5AchOhcrD1b5Q,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,LJpO_SsoK2Z6byql1d7XlQ,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,NRn5ddCUt1QgnPnRnTgK2Q,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,PfkF7k5bk9ftSXrC8Q7GaQ,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,SKSlcw91JOR-wIpF4U37jQ,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,UF8p3hWFIdDiixSD30Gecg,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,YPwmAhAC-DKQgWx5px2h2w,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,bZ--21NzqSlNQ-S93iHf_w,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,e7jxG2JAl2OFabJIpZaocw,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,ePxjx8tee06mn5h87X-Sxg,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,hWfEdLs1ynD3FkytJkRPtA,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,i-v015Oa8uK4JiHe0GC8mQ,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,tBlxhHAjHPY2AdMEonmylw,1,common_categories
-6MrOJCN-eIe37-LT-uPoQ,tiUZaIiPJ1Pd-QgWDZmVag,1,common_categories
-EsTy2PDFHI1rNek9OVWgQ,ePxjx8tee06mn5h87X-Sxg,1,common_categories
-Rpn2YrQgOmr8oGcWI9rXQ,MRa2O7cX1507JEOkijR8Ig,1,common_categories
-Rpn2YrQgOmr8oGcWI9rXQ,d8FwfuFM9SJA3kU_cIQ3aw,1,common_categories
-Rpn2YrQgOmr8oGcWI9rXQ,i-v015Oa8uK4JiHe0GC8mQ,1,common_categories
-b66K5diYIQCydShlfkRWA,178lUNiULUgxi8fdm1zXmA,1,common_categories
-b66K5diYIQCydShlfkRWA,g_eso2B0EhV7l7pgl9Xldw,1,common_categories
-e2YdMZKmFZ45p0WC3ttJA,6Q8dQGr_DBKcmQ1aXVWvTQ,1,common_categories
-e2YdMZKmFZ45p0WC3ttJA,HkVTrkEuJh92y-uj60uglg,1,common_categories
-e2YdMZKmFZ45p0WC3ttJA,o2ulzklqF2Kc0cUUPTywug,1,common_categories
-f7Krw5O07Q77rqhCMSQpA,ajkauOr4wdfUEUUCAOKKMQ,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,1hgePsmvAkZDD9fDc3KbRg,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,6Q8dQGr_DBKcmQ1aXVWvTQ,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,A-JY2Aqmg3utmwtyAAhFpA,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,DK00bPezapwBpdXIljwtxg,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,OIpxuY-j4012wxp4Sv3-0A,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,anJ1Kno9I871C6GLaLJc1w,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,byIpgEbSQo6KHHhKymgU6Q,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,dHU72cvae-H0GWH34AYWKQ,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,ePxjx8tee06mn5h87X-Sxg,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,f1Mk3ZALeHfs3YnM9ikVsQ,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,f3AZHdFgVpB5oglDz4kvyQ,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,hWfEdLs1ynD3FkytJkRPtA,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,i-v015Oa8uK4JiHe0GC8mQ,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,qiBAL_VZX_Roy5QTbBVPRA,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,rKGTBWaFgu8a60DFqeK3Fg,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,ruTAZ7_Q7YAeEMeIoun6AQ,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,sYZe8JiMi_VwEN32e3NLyw,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,tYe3wHZB77lCG4ThTJ3gRQ,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,vVaZznS1qdTMzu7pHr1QXQ,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,vsiF3aDk5i9nsoj6v7opCw,1,common_categories
-kAQ-PSKx3i0st2B4aPpTg,wbkIhf4lXKsh2Xm-u8GM0A,1,common_categories
-lxHlw3mEkXhSaUa2Ugaaw,YPwmAhAC-DKQgWx5px2h2w,1,common_categories
-lxHlw3mEkXhSaUa2Ugaaw,hjhWeCfJeL3-oRasCHBSCA,1,common_categories
-lxHlw3mEkXhSaUa2Ugaaw,wbkIhf4lXKsh2Xm-u8GM0A,1,common_categories
-ne-7caCLAk2j3kD7tzBGw,UF8p3hWFIdDiixSD30Gecg,1,common_categories
-ne-7caCLAk2j3kD7tzBGw,Uuq95USjMXra4XsFrryvCw,1,common_categories
-ne-7caCLAk2j3kD7tzBGw,lnQyKu1NZTMThnUYGh6jgg,1,common_categories
-ne-7caCLAk2j3kD7tzBGw,ncM3LZWeq6dvQhEjKW-iJw,1,common_categories
-ne-7caCLAk2j3kD7tzBGw,ulRdB25JWcztx_n6N67yog,1,common_categories
-ne-7caCLAk2j3kD7tzBGw,zkamNMEjihh3zN7lC7_WVw,1,common_categories
-vFaj3XeNuABoj5ertOYLA,A-JY2Aqmg3utmwtyAAhFpA,1,common_categories
-vFaj3XeNuABoj5ertOYLA,C6YEJOh2TUgBUqwWN6a4cQ,1,common_categories
-vFaj3XeNuABoj5ertOYLA,HyUJfb7w4eP1w33_CsX5og,1,common_categories
-vFaj3XeNuABoj5ertOYLA,OXIt8isgAdGcJIqLOe0nBg,1,common_categories
-vFaj3XeNuABoj5ertOYLA,U9Epoi-HIuhlj4qpLfPstg,1,common_categories
-vFaj3XeNuABoj5ertOYLA,d8FwfuFM9SJA3kU_cIQ3aw,1,common_categories
-vFaj3XeNuABoj5ertOYLA,f1Mk3ZALeHfs3YnM9ikVsQ,1,common_categories
-vFaj3XeNuABoj5ertOYLA,tcTWVqBY2ayhj0EAJKM57w,1,common_categories
-vFaj3XeNuABoj5ertOYLA,tiUZaIiPJ1Pd-QgWDZmVag,1,common_categories
-vFaj3XeNuABoj5ertOYLA,yX7A-nIPx43J4bzgVHrx1A,1,common_categories
