from,to,weight,type
-4nU1RaOzfSAmQityGJAfw,2cIlse4JbQjVB7qJowyguA,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,6MHOoXqAhHEKI8oX6FW3Hg,2,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,6skU7psOfkA6MulD5PzA2g,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,B848ziwrE_Kn5MI9Pw9bpA,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,EXJj7S_nsfqgraUUaYM3BQ,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,E_9Mix_1Z2njw4ct7VRCGw,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,E_Ug8AzeJS-POc5QofIy8Q,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,Gr4qfh0mPigPqcpdDtXG3A,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,JPbH0GR8XfRo_EdierH7mw,2,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,Kig7LAiwLafFKFcZW8BATA,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,MSJBD8nq8v0AunVgfi7SEA,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,NdOb1Ao1w8UVnt7hOQ2Elg,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,NrMkwmLHhWgmoZZh7tqctA,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,Oi1qbcz2m2SnwUeztGYcnQ,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,PGuPET0jjzg22c7WsO-vvA,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,R7oqm48wW0h0n2veJOdJlw,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,RKULSOrIvvYpDmtuYXEXzA,2,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,VMKcaPDqJVCta_MijoMEmg,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,Vx9IuZrMpE_FEwYRfCn-8w,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,_7VEyrZ5gERe8sRRhqWGpw,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,btUugfufQAe-QD6gC_Ckmw,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,dQDt0l5e9sre54eG7plUdA,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,fGknxbS-L536ahwrsT_-ig,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,flRJ56CSuNzrq4UikIPeUw,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,gc55hZX8MMBbJ4NBbETEDw,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,hJPTuggjKM9-iJQyMOY6fA,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,ieTkdv5wxiWF5yT1bEiZKg,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,lyl7C-Id73dfVJxP7_yvHA,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,mESGAIAa3AL8GRMoKrm35A,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,nKbLHA-vE2B5GJr7ft26Dw,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,nXMMoDzXRByQiWH9cf-FAQ,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,uIHibXqmjvijB7alLMCS0Q,1,tipped_same_business
-4nU1RaOzfSAmQityGJAfw,uyiV1P6BTIlFfbRhR_X0Uw,1,tipped_same_business
