from,to,weight,type
IpLRJY4CP3fXtlEd8Y4GFQ,hWDybu_KvYLSdEFzGrniTw,718222,compliments
IpLRJY4CP3fXtlEd8Y4GFQ,6s-g2vFu12OemhiK3FJuOQ,488224,compliments
IpLRJY4CP3fXtlEd8Y4GFQ,GHoG4X4FY8D8L563zzPX5w,340984,compliments
IpLRJY4CP3fXtlEd8Y4GFQ,OgYi5x02MBukfxPNFe1ePg,224124,compliments
IpLRJY4CP3fXtlEd8Y4GFQ,om5ZiponkpRqUNa3pVPiRg,206676,compliments
RgDVC3ZUBqpEe6Y1kPhIpw,hWDybu_KvYLSdEFzGrniTw,48353571,compliments
RgDVC3ZUBqpEe6Y1kPhIpw,6s-g2vFu12OemhiK3FJuOQ,37118225,compliments
RgDVC3ZUBqpEe6Y1kPhIpw,GHoG4X4FY8D8L563zzPX5w,24774531,compliments
RgDVC3ZUBqpEe6Y1kPhIpw,BmVwbsL8l0imz4slonyMaA,19920208,compliments
RgDVC3ZUBqpEe6Y1kPhIpw,OgYi5x02MBukfxPNFe1ePg,19176074,compliments
om5ZiponkpRqUNa3pVPiRg,hWDybu_KvYLSdEFzGrniTw,46319730,compliments
om5ZiponkpRqUNa3pVPiRg,6s-g2vFu12OemhiK3FJuOQ,35622203,compliments
om5ZiponkpRqUNa3pVPiRg,GHoG4X4FY8D8L563zzPX5w,23955774,compliments
om5ZiponkpRqUNa3pVPiRg,BmVwbsL8l0imz4slonyMaA,18391813,compliments
om5ZiponkpRqUNa3pVPiRg,OgYi5x02MBukfxPNFe1ePg,18178359,compliments
KrIL3TIOJI-tjvU6BlcA-g,hWDybu_KvYLSdEFzGrniTw,188003,compliments
KrIL3TIOJI-tjvU6BlcA-g,6s-g2vFu12OemhiK3FJuOQ,129584,compliments
KrIL3TIOJI-tjvU6BlcA-g,GHoG4X4FY8D8L563zzPX5w,90086,compliments
KrIL3TIOJI-tjvU6BlcA-g,OgYi5x02MBukfxPNFe1ePg,61566,compliments
KrIL3TIOJI-tjvU6BlcA-g,om5ZiponkpRqUNa3pVPiRg,54656,compliments
1sGYXSkJHPhJ6wQtc-RbZw,hWDybu_KvYLSdEFzGrniTw,13744239,compliments
1sGYXSkJHPhJ6wQtc-RbZw,6s-g2vFu12OemhiK3FJuOQ,9846762,compliments
1sGYXSkJHPhJ6wQtc-RbZw,GHoG4X4FY8D8L563zzPX5w,6506124,compliments
1sGYXSkJHPhJ6wQtc-RbZw,OgYi5x02MBukfxPNFe1ePg,4359682,compliments
1sGYXSkJHPhJ6wQtc-RbZw,BmVwbsL8l0imz4slonyMaA,3894040,compliments
OgYi5x02MBukfxPNFe1ePg,hWDybu_KvYLSdEFzGrniTw,55836017,compliments
OgYi5x02MBukfxPNFe1ePg,6s-g2vFu12OemhiK3FJuOQ,44209360,compliments
OgYi5x02MBukfxPNFe1ePg,GHoG4X4FY8D8L563zzPX5w,29989417,compliments
OgYi5x02MBukfxPNFe1ePg,BmVwbsL8l0imz4slonyMaA,28799032,compliments
OgYi5x02MBukfxPNFe1ePg,RgDVC3ZUBqpEe6Y1kPhIpw,19176074,compliments
SH-GRUQlUZTco0ofRbwVdQ,hWDybu_KvYLSdEFzGrniTw,237346,compliments
SH-GRUQlUZTco0ofRbwVdQ,6s-g2vFu12OemhiK3FJuOQ,150655,compliments
SH-GRUQlUZTco0ofRbwVdQ,GHoG4X4FY8D8L563zzPX5w,111993,compliments
SH-GRUQlUZTco0ofRbwVdQ,BmVwbsL8l0imz4slonyMaA,89911,compliments
SH-GRUQlUZTco0ofRbwVdQ,OgYi5x02MBukfxPNFe1ePg,86484,compliments
GG0mFsEXb-02_dzFPqRV1Q,hWDybu_KvYLSdEFzGrniTw,1662260,compliments
GG0mFsEXb-02_dzFPqRV1Q,6s-g2vFu12OemhiK3FJuOQ,1199936,compliments
GG0mFsEXb-02_dzFPqRV1Q,GHoG4X4FY8D8L563zzPX5w,823065,compliments
GG0mFsEXb-02_dzFPqRV1Q,BmVwbsL8l0imz4slonyMaA,627278,compliments
GG0mFsEXb-02_dzFPqRV1Q,OgYi5x02MBukfxPNFe1ePg,619510,compliments
k_muz40jJaiY1PVga6NDXA,hWDybu_KvYLSdEFzGrniTw,2056358,compliments
k_muz40jJaiY1PVga6NDXA,6s-g2vFu12OemhiK3FJuOQ,1506748,compliments
k_muz40jJaiY1PVga6NDXA,GHoG4X4FY8D8L563zzPX5w,1026707,compliments
k_muz40jJaiY1PVga6NDXA,OgYi5x02MBukfxPNFe1ePg,765671,compliments
k_muz40jJaiY1PVga6NDXA,BmVwbsL8l0imz4slonyMaA,765661,compliments
IPKtxPKLM-PuLHGoT1e7iw,hWDybu_KvYLSdEFzGrniTw,26118,compliments
IPKtxPKLM-PuLHGoT1e7iw,6s-g2vFu12OemhiK3FJuOQ,19739,compliments
IPKtxPKLM-PuLHGoT1e7iw,GHoG4X4FY8D8L563zzPX5w,14713,compliments
IPKtxPKLM-PuLHGoT1e7iw,OgYi5x02MBukfxPNFe1ePg,10848,compliments
IPKtxPKLM-PuLHGoT1e7iw,BmVwbsL8l0imz4slonyMaA,10367,compliments
