from,to,weight,type
IpLRJY4CP3fXtlEd8Y4GFQ,_BcWyKQL16ndpBdggh2kNA,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,lRRuTimITgwzoXLIM3g9qw,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,z02XKjGqJMONH59_lUHlTQ,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,ovq6MrgSLj8eUYlUY0dUiw,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,RgDVC3ZUBqpEe6Y1kPhIpw,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,DnvC-m22fZqZv3pAo16ZSg,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,NeSUQaDeLEa1hN_OhjPaeA,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,t-IbDE6GeUoOx7vhpjWn4Q,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,H3cExEGaTjX_NVDvgS5TnQ,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,fEtWwhNKSoTqIWTSEwGIvg,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,_hPjqzQDiyw1-4U_IAETpg,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,dhLizr4a2oydrv15y56r0A,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,mIx8PjbvW1NN_VQsJyzR-A,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,u1gUbwyeBe8mtV97hZyImg,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,_uXsvqMJYALJLaP0DaCWsw,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,UiRx8jyS6H957ItwFsP2nQ,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,IPxJLWpKptzpTWlfjFiuHA,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,GSVmJja9_1mjlfNgv6nOjg,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,eJnwyot0rLyWN84DwyC0RA,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,YuX70bdZdGXUdyU1mKaP4g,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,cUB2WhICFuSe7DwXAIoo0g,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,vU9_lZqJQIR8btUYw7fqxA,1,friendship
IpLRJY4CP3fXtlEd8Y4GFQ,fnxXONGMKeOF8oMmoCTuWw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,A_BF2dDDUTKGVXrqxO9mag,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,lRvVaSIPosTTbOYFC3HPAg,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,FyiYuZrIzSkgshdazHZCWw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,IpLRJY4CP3fXtlEd8Y4GFQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,AF2wygvqImI9gbFijr13rw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,aTApnuj_Dx483ZcLEujPnQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,mehzZXSzJcfesgdOyiOGlg,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,4P8qDuDy3C8s6Rkm5wEI4Q,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,om5ZiponkpRqUNa3pVPiRg,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,uzK-HIiE07VVW34yrsxsmA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,RVLIIWzrsmZEGSU08feSQA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,kaHmTcEoVS3oQvfJfDe8kg,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,85hUvyTE0UA7eDMI18OMOQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,krs31wGmvy1OHr9556aWyg,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,8wQIoFapkegkC5fcVYg_Iw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,yBQEOTjFlZkjf3rcwDxAbA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,enaHB1e956thdnafcHVAig,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,9sHfCA7_y5DkQM2I3ykHzw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,tLEVnPUkFo9aiSkWX4jqaw,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,0_FWb5d-EkJVaP0GAr0gcQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,cheyvqlGDDkCBywph0ehzQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,AvGJVv7Z3a0q1MJT1Ykd0w,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,_BcWyKQL16ndpBdggh2kNA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,8MKygqfspKqG2-X9ycR-Ow,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,SdlozylmEKkBW910mGw1dQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,s_ushMFjAYjIvszJW2gOhQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,6s-g2vFu12OemhiK3FJuOQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,_RyJNSnTU6QIBlq4OirabQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,ytIvCKe0uuqv2ofTqAdxOg,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,u4mFdl9968nv__ZDRXV-eA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,JTqQ9C9S2Qc8_aHtO1965g,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,L8LoKsZ9zncFoqqf5RiYgA,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,S1bcv4QpwW7Ysy0T9edlOQ,1,friendship
RgDVC3ZUBqpEe6Y1kPhIpw,g0_x4kVvJAYuk96oCcbOmw,1,friendship
